,Accession,Gene Symbol,Palbociclib,Panobinostat,Raltitrexed,Methotrexate,Vemurafenib,Fimepinostat,Olaparib,Bafetinib,SCIO-469,OTS964,SL-327,Abemaciclib,CCT137690,Belumosudil,Staurosporine
2140,Q96I15,SCLY,1.0745677401314258,1.0140738641730422,1.0006990725637321,1.0490223859450267,1.0490223859450267,1.0889298195900632,1.0299896098989327,1.0584679323698876,1.0299896098989327,1.1046744652094889,0.9993014157973175,1.0889298195900632,1.0164049028289137,1.0299896098989327,1.0490223859450267
2141,Q9HD26,GOPC,1.0991163721240413,1.0790263421140383,0.994283065512979,1.0991163721240413,1.1036178726242083,1.0244755244755244,1.0882794264754918,1.1036178726242083,1.0911137045681896,1.0057498057498058,1.1036178726242083,1.0143745143745144,1.3821273757919308,1.0911137045681896,1.0170163170163171
2142,Q9NQ29,LUC7L,1.0609208557091292,1.0389999119640814,1.0527335152742319,1.0277801968126796,0.9774429690160027,1.089444493353288,1.0389999119640814,1.0451972481058958,1.0342459723567214,1.0566070956950435,1.0609208557091292,1.0527335152742319,1.0230775929635112,1.0342459723567214,1.0230775929635112
2143,P18440,NAT1,1.275622283682339,1.2199920979849863,0.9607487531575878,1.275622283682339,1.2308968787040695,1.0501584305265288,1.2644804425128409,1.2644804425128409,1.2308968787040695,1.0788107597923549,1.2308968787040695,1.0408548506708017,1.3048597392335044,1.275622283682339,1.0945863951998922
2144,Q12849,GRSF1,1.331972789115646,1.2585034013605443,1.0472416632358994,1.2982890125747268,1.2585034013605443,1.0894057911348978,1.226221397649969,1.226221397649969,1.2585034013605443,1.0203787566899958,1.3091733663162235,1.080348565939344,1.2258915687487117,1.2585034013605443,0.9800282428888442
2145,Q96FJ2,DYNLL2,1.0957081710561831,1.0184599056156776,1.0109546462483179,1.036073728454093,0.9964871857825456,1.111595264720626,1.036073728454093,1.0989858481471484,1.0035251975816386,1.0989858481471484,1.036073728454093,1.0957081710561831,1.0208807311147956,1.0035251975816386,1.0208807311147956
2146,P28676,GCA,1.0696910873055816,1.1886068972128359,1.1229395764071328,1.0949744769573657,1.1663191698420687,1.0377095296770744,1.039255158530448,1.0949744769573657,1.1663191698420687,0.99188285483685,1.1663191698420687,1.0377095296770744,1.0949744769573657,1.0696910873055816,1.0081835724083417
2147,Q8NC96,NECAP1,0.9494563710844858,1.0683800059231958,1.0532342827483292,1.0991148112803975,1.09799598538945,1.140873342327816,1.0991148112803975,1.09799598538945,1.1361347856132153,0.9494563710844858,1.083533380912217,1.138701503833624,1.0824304158826965,1.1361347856132153,1.1361347856132153
2148,Q8NFH8,REPS2,1.0101829323240514,1.0035810205908684,0.9964317573595004,1.023429755789853,1.0114592658907788,1.0319005136523383,1.0550599261061546,1.0181130035144632,1.0251566696508505,1.0101829323240514,1.0319005136523383,1.0618185095070738,1.0181130035144632,1.0167412712623098,1.0550599261061546
2149,Q8WX92,NELFB,1.2224069148936172,1.1930407801418441,1.0740472586059369,1.1930407801418441,1.2055260047281324,1.0890870795761207,1.1930407801418441,1.17933658392435,1.2234781323877069,1.0507141446718884,1.2234781323877069,1.0629237148686896,1.2357047872340428,1.2224069148936172,0.9517336423716604
