,Accession,Gene Symbol,Palbociclib,Panobinostat,Raltitrexed,Methotrexate,Vemurafenib,Fimepinostat,SCIO-469,SL-327,5-Fluorouracil,Olaparib,Bafetinib,OTS964,Abemaciclib,CCT137690,Belumosudil,Parthenolide
11,Q86YP4,GATAD2A,0.0,0.030412538954287298,0.0,0.0,0.08612591246890935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,P62256,UBE2H,0.0,0.0,0.0,0.0,0.0,0.022257947152814546,0.0,0.047654048307003365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,P07738,BPGM,0.013322401489613014,0.05727160538469074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Q9UII2,ATP5IF1,0.0025381507198676476,0.0,0.0,0.0,0.08360655218933702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Q53H96,PYCR3,0.0,0.008898572536555755,0.0190554189947741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Q6IQ22,RAB12,0.0,0.0,0.01769158654667069,0.0,0.003953013617570332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,O95613,PCNT,0.0492628122059289,0.0,0.0,0.0,0.1089038231474883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Q29RF7,PDS5A,0.0,0.0,0.0,0.0,0.0634802342500479,0.0,0.0,0.0,0.059675429025455,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Q8N163,CCAR2,0.0,0.0,0.0,0.0,0.05544640024066046,0.0,0.00130591041476711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Q8WUD4,CCDC12,0.0,0.0,0.0,0.027934155858568923,0.0,0.006836650729709366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Q9BYC9,MRPL20,0.01455187707941751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026716857161024187,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,O75439,PMPCB,0.0,0.0,0.0,0.0,0.03895692259769953,0.0,0.007174720287542472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,P54886,ALDH18A1,0.0,0.0,0.0,0.0,0.05455564687802011,0.0,0.0,0.0029386395552121122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Q12968,NFATC3,0.19543230890741553,0.0,0.0,0.0,0.037244883565241006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,P31749,AKT1,0.0,0.0,0.007793909843639663,0.03496588673397126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,P57721,PCBP3,0.04378051228211709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03924264800379483,0.0,0.0,0.0,0.0
27,Q9H496,TOR1AIP2,0.0,0.04140207455137986,0.0,0.013042102980935399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,O00429,DNM1L,0.0,0.0,0.0,0.0,0.0010428427311868233,0.0,0.0,0.0011951294946304083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,O95218,ZRANB2,0.0,0.033691247671132796,0.0,0.0,0.006673274165929655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Q9Y265,RUVBL1,0.06532706786241976,0.0,0.0,0.03723805114705677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,P27816,MAP4,0.0,0.0,0.0,0.0,0.006617907218168376,0.008557270814626296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,O60234,GMFG,0.0,0.02078933452118835,0.0,0.015888706095960645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,O00410,IPO5,0.0,0.0,0.01759256971974372,0.0,0.0,0.0,0.0,0.0020466672510984756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
