,Accession,Gene Symbol,Palbociclib,Panobinostat,Raltitrexed,Methotrexate,Vemurafenib,Fimepinostat,Olaparib,Bafetinib,SCIO-469,OTS964,SL-327,Abemaciclib,CCT137690,Belumosudil,Parthenolide
39,Q92945,KHSRP,0.0,0.0,0.0,0.0002774086879398334,0.0,0.0,0.0,0.0,0.0,0.0,0.00969841758937666,0.0,0.0,0.0,0.0
40,P30613,PKLR,0.0,0.002185832238306514,0.022767150193388024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,P55072,VCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013228003394562694,0.0,0.019268983184854975,0.0,0.0,0.0,0.0,0.0
42,P29401,TKT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006966015577954515,0.0,0.0,0.0,0.0,0.007065718433810658
43,P50851,LRBA,0.0,0.0,0.024103033174371694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009139278494828436,0.0,0.0,0.0
44,P49588,AARS1,0.0,0.0,0.0,0.0,0.0076900377210783796,0.0,0.0,0.0,0.0,0.0,0.0,0.03191823135486709,0.0,0.0,0.0
45,P27816,MAP4,0.0,0.0,0.0,0.01841364897396289,0.0,0.0,0.0,0.0,0.0,0.0,0.006152242043268117,0.0,0.0,0.0,0.0
46,P17987,TCP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0028741980194340625,0.003429953565881108,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,P07814,EPRS1,0.0,0.0,0.0,0.017222113927878993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026050228198596828,0.0
48,P50991,CCT4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009249652730982483,0.0,0.0,0.0,0.0001940137318783841,0.0,0.0
49,P31948,STIP1,0.0,0.0,0.0,0.158016737819143,0.0,0.03389985582752314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,P13796,LCP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020202882119225548,0.07148340061571228,0.0,0.0,0.0,0.0,0.0
51,P53396,ACLY,0.004448152403289742,0.0,0.0,0.0,0.0,0.010684648458887825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,P68104,EEF1A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017407395682113316,0.0,0.0,0.0,0.0,0.01689381626637009
53,O75369,FLNB,0.0,0.0,0.0361999489338513,0.0,0.0014064691330458188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Q86VP6,CAND1,0.0,0.0008876569753375474,0.02220182726540347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,P21333,FLNA,0.028650990737694025,0.0,0.0,0.039661126745318104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,P33176,KIF5B,0.0011851953524226544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011413040103445642,0.0,0.0,0.0
57,P15311,EZR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002410728257952164,0.0,0.01417991950386072,0.0,0.0,0.0,0.0,0.0
58,P11021,HSPA5,0.0,0.0,0.0,0.0,0.0,0.0,0.008999059328648954,0.0,0.0,0.01714215917989302,0.0,0.0,0.0,0.0,0.0
59,P40227,CCT6A,0.008950294286998237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016598092291044315,0.0,0.0
60,P55786,NPEPPS,0.0,0.0,0.012188113437947755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012927185015100713
61,P22102,GART,0.0,0.0,0.0,0.04611997022291596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03230065165306986,0.0
62,P29144,TPP2,0.0,0.006600093949157621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011286695020370118,0.0,0.0,0.0,0.0
63,P04181,OAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043070025979064876,0.0,0.03885263985292501,0.0,0.0,0.0,0.0,0.0
64,Q99460,PSMD1,0.0,0.0,0.0,0.015567026623692255,0.0,0.004605816258011489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,P68371,TUBB4B,0.0,0.02189116624567984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019061362423774222,0.0
66,Q13200,PSMD2,0.01925245381844236,0.0,0.0,0.04810350900959148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,P06744,GPI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0070352258216372174,0.0,0.024466239953927008,0.0,0.0,0.0,0.0,0.0
