,Accession,Gene Symbol,Palbociclib,Panobinostat,Raltitrexed,Methotrexate,Vemurafenib,Fimepinostat,Olaparib,Bafetinib,SCIO-469,OTS964,SL-327,Abemaciclib,CCT137690,Belumosudil,Staurosporine
32,P78527,PRKDC,0.01791640340668626,0.0,0.0,0.0,0.0,0.0,0.0,0.017228946449814268,0.0,0.0,0.02387597432692381,0.0,0.0352811878272616,0.0,0.0
33,P27816,MAP4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05594220165319706,0.0,0.03805441966986137,0.0
34,P48643,CCT5,0.003885248479044647,0.0,0.0,0.0,0.0,0.01711625542582922,0.0,0.0,0.0,0.014821248084900195,0.0,0.0,0.0,0.0,0.0
35,P31948,STIP1,0.0,0.0,0.0,0.0,0.012187569742232094,0.01891031707806182,0.0,0.0,0.0,0.0,0.08342360242142237,0.0,0.0,0.074670886385706,0.0
36,P49368,CCT3,7.37257477290143e-18,0.0134548269685276,0.0,0.0,0.0,0.0,0.0,0.017978595424809514,0.0,0.040537459784591216,0.0,0.0,0.0,0.0,0.0
37,Q15075,EEA1,0.0,0.0,0.0,0.0,0.0027536109636868145,0.0,0.0,0.0,0.02385094524234115,0.0,0.003569594318211182,0.017932014445162188,0.0,0.011088347111322876,0.0
38,O00410,IPO5,0.06030337156913773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04100074745874304,0.0,0.0,0.0,0.0,0.0
39,P50991,CCT4,0.03877189607372813,0.0,0.0,0.0,0.0,0.0,0.0,0.0320857567263344,0.0,0.0,0.0024866762650832316,0.0,0.0,0.0,0.0
40,P10809,HSPD1,0.024542990867695402,0.0,0.0,0.004004054581397189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04054426149737426,0.0
41,P22102,GART,0.06400905992697102,0.0,0.0,0.08496689346238391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,P26038,MSN,0.0,0.0,0.0,0.0,0.04273626771638856,0.0,0.0,0.0,0.05038783365389955,0.0,0.0,0.011742996669659451,0.0,0.0,0.0
43,P50990,CCT8,0.0,0.0,0.0,0.0,0.0,0.04689437725202769,0.0,0.0,0.0,0.0,0.019573562552790864,0.0,0.0,0.0,0.0
44,P00558,PGK1,0.0,0.0,0.0,0.0,0.001954415337939183,0.022312987427463883,0.0,0.07263044768530662,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Q16531,DDB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004305544047878033,0.005157480191066141,0.0,0.0,0.0,0.0,0.0,0.0
46,Q99832,CCT7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031136420085332815,0.0,0.002880766904029595,0.0,0.0,0.0,0.0,0.0
47,P13797,PLS3,0.0,0.0,0.0,0.0,0.0,0.01978641592019221,0.0,0.036987273108293264,0.0,0.0,0.0037884914496369645,0.0,0.0,0.0,0.0
48,P33176,KIF5B,0.07905094243498478,0.0,0.0,0.006342429654620009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005966356989660363,0.004047992185311102,0.0,0.0
49,P46821,MAP1B,0.03430264041199082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027582841468076626,0.0,0.05063754976163192,0.0,0.011022591004829024,0.007754160660489952
50,Q92598,HSPH1,0.028902419728026287,0.0,0.0,0.005179734609131933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021707863187893042,0.0
51,P29401,TKT,0.0,0.0,0.0,0.0,5.425979771594286e-05,0.0022383419221154452,0.0,0.01857799147350723,0.008363910710693373,0.005847740328406935,0.0,0.0,0.0,0.0,0.0
52,P06737,PYGL,0.06271919372771503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015082032258224,0.0,0.005549359819997827,0.0
53,O75533,SF3B1,0.012758511394190795,0.04903134380811232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0232766372874303,0.0,0.0
54,Q86VP6,CAND1,0.0,0.0,0.0,0.0,0.00557905153536129,0.013931318326923202,0.0,0.0011044760524976404,0.040838891014588305,0.0,0.0,0.0,0.0,0.0,0.0
55,P27708,CAD,0.02589412232368555,0.0,0.0,0.0,0.0,0.0,0.004300709131219162,0.0,0.0,0.0,0.0,0.0,0.01809582609331028,0.0,0.0
56,Q13263,TRIM28,0.05823937185745823,0.0,0.0,0.018423200622517687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011647688961920817,0.0,0.012902988457893401,0.0
57,P14625,HSP90B1,0.07201485030677542,0.05323899183494508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030799393875122205,0.0,0.024777708981107052,0.0
58,Q96AE4,FUBP1,0.0,0.0,0.0,0.0,0.03300525390818732,0.02759221683807117,0.0,0.0,0.02172862580724886,0.0,0.0450211554755873,0.0,0.0,0.0,0.0
59,P49588,AARS1,0.04606253015107348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04852871544355688,0.0,0.06598764950552025,0.0
60,P11586,MTHFD1,0.02301179046660086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030905786382666035,0.0,0.0
