,Accession,Gene Symbol,Palbociclib,Panobinostat,Raltitrexed,Methotrexate,Vemurafenib,Fimepinostat,Olaparib,Bafetinib,SCIO-469,OTS964,SL-327,Abemaciclib,CCT137690,Belumosudil,Staurosporine
16,P04075,ALDOA,0.0,0.0,0.0,0.0,0.0,0.009832957986523817,0.0,0.0037939908842711065,0.0023490519842436497,0.0,0.012404192667519456,0.0005830775029750735,0.015691134349730993,0.0,0.038240396012018264
17,P14618,PKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03255775183446565,0.0,0.0013196583957792857,0.009786187820291095,0.0,0.0,0.0,0.01881734221024433
18,P78371,CCT2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01481421677371673,0.0,0.03726100989553665,0.012280132785316982
19,P38646,HSPA9,0.009765227686248129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02210655716476512,0.0,0.024526296013369687,0.0,0.0,0.0
20,Q92945,KHSRP,0.05974615210571205,0.0,0.0,0.0,0.0,0.0,0.0,0.021657373901126598,0.0,0.07345694809088836,0.07388913598600819,0.012301967694136749,0.022709052861706693,0.0,0.03069360554954266
21,Q7Z6Z7,HUWE1,0.005294261399829786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022410239045845777,0.0,0.0,0.0
22,Q9Y490,TLN1,0.03340264500766317,0.05096942995079719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,P21333,FLNA,0.0,0.04865047967104986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Q01082,SPTBN1,0.0,0.0024083931468404335,0.0,0.0,0.0,0.0,0.0010417587475708653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,P48643,CCT5,0.0,0.0,0.011087167896213598,0.0,0.0,0.0,0.0,0.0,0.00809101219356076,0.0,0.0,0.0,0.0,0.0,0.0005907209077516754
26,O75369,FLNB,0.0,0.004675900964258904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010408331749274078,0.0,0.0,0.0,0.0,0.0
27,P60709,ACTB,0.021212847275198513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006036548752855808,0.0379267132909655,0.0
28,Q13813,SPTAN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009675484811353077,0.0,0.018934449221210212,0.0,0.0,0.0
29,P22102,GART,0.0,0.0,0.0,0.07743623282850848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031001878452992526,0.0
30,Q5T4S7,UBR4,0.0,0.0,0.0,0.009834789512459977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02494467175876778,0.0
31,Q99832,CCT7,0.0,0.0,0.0,0.0,0.0024980957575403105,0.008669371059400013,0.0,0.0,0.007173100897978388,0.0,0.0,0.0,0.0,0.03211817247323209,0.02421318489797717
32,Q15075,EEA1,0.0,0.0,0.0,0.0,0.007840982232757655,0.0,0.0,0.025542831932110266,0.013755825114804027,0.023108616720564412,0.0,0.0,0.006543544640740528,0.0,0.035694348179999225
33,P50991,CCT4,0.0,0.0,0.0,0.0,0.0,0.011526653730987994,0.0,0.0,0.0,0.0,0.0,0.005816977546684312,0.0,0.03851231904109965,0.0
