Accession,Gene Symbol,# PSMs,Abundances_Pool_0,Abundances_Pool_1,Abundances_Pool_2,Abundances_Pool_3,Abundances_Pool_4,Abundances_Pool_5,Abundances_Pool_6,Abundances_Pool_7,Abundances_Pool_8,Abundances_Pool_9,Abundances_Pool_10,Abundances_Pool_11,Abundances_Pool_12,Abundances_Pool_13,Abundances_Pool_14,Abundances_Pool_15,Abundances_Pool_16,Abundances_Pool_17
Q9UQE7,SMC3,28,1.0,0.9607767062040424,0.9514281491335032,0.9534973949672985,0.9973764918892951,0.9527583785980858,0.9364076414292575,0.7484942541477294,0.9599453127886782,,,,,,,,,
Q8WWW0,RASSF5,3,,,,,,,,,,1.0,0.7366728718903368,0.7843966830258927,0.8238280588932138,0.8016584870536468,0.8030123540362158,0.8183279742765274,0.8192587578270435,0.7657810120155695
Q96L92,SNX27,9,0.7613312874575937,0.7275009359587958,0.7113276538826162,0.6620659139808581,0.7959777219969326,0.7675631943126353,0.7191175374514184,0.48979820305934846,0.7084342685570612,1.0,0.8659903897490656,0.6230646022423919,0.7634810464495462,0.7704217832354511,0.7266417512012813,0.6652429257875067,0.6914041644420715,0.7794981313400962
Q15025,TNIP1,1,0.9577708006279435,0.9387755102040817,0.8832025117739404,0.963265306122449,0.9596546310832025,0.9229199372056514,0.9194662480376766,0.9353218210361066,1.0,,,,,,,,,
P49006,MARCKSL1,51,0.724610042954582,0.8502315299184274,0.9067271977373358,0.7756502189121568,0.8389385089505687,0.7878754107582825,0.7832756823261776,0.8629839331629172,0.9394372266706258,0.7117739403453689,0.9743026204564665,0.8783238739282695,0.8075594734935393,0.8169544740973312,0.9809684820673831,0.8851346455742061,1.0,0.9868373384856901
Q86YP4,GATAD2A,26,0.3976756413763246,0.38793583670823345,0.3653768160757924,0.3766096686450999,0.3610259811761541,0.3790941936682178,0.3552520849956689,0.29739647882353476,0.35973122869931806,1.0,0.7085431461157736,0.6613729287712503,0.6838820744566387,0.7047127178825049,0.7718958467828707,0.7028620615450829,0.6967936302991178,0.7572627501613945
P62256,UBE2H,30,0.7359903451710644,0.8259877346875649,0.7959384914558078,0.8067441918049387,0.8768684889402116,0.7554875871053657,0.8656023717935961,0.8110100943775523,0.7852455462407549,0.7643899424877608,0.9347877750843672,0.9734065307286468,0.9230239079804172,0.9084319596939018,0.8782261514330529,1.0,0.9681306145729358,0.8889681068491848
P07738,BPGM,11,1.0,0.8983575659666129,0.9068838628612457,0.8375964817806497,0.85388619637408,0.9833512834320589,0.7692514808831449,0.9203015616585891,0.8936456650511578,0.5770242464251792,0.4598101385847229,0.45257310436304093,0.4724749484726664,0.5134417314775448,0.46859796585390817,0.44856688899032415,0.4773857931230934,0.5903352200829158
Q14241,ELOA,4,,,,,,,,,,,,,,,,,,
Q6P9F7,LRRC8B,1,0.714735059278974,0.8577304621340429,1.0,0.8110331478345028,0.9622550205661746,0.8826518267602226,0.9975804500362931,0.913622066295669,0.9716912654246309,,,,,,,,,
Q99942,RNF5,2,,,,,,,,,,,,,,,,,,
Q9UII2,ATP5IF1,72,0.9906761839437404,1.0,0.94502189626972,0.9016740659224699,0.8325331082150582,0.9173971704441815,0.8302944878684867,0.8907598495526527,0.8894332597176474,0.7000833977537322,0.7300955361346187,0.6930893080769547,0.670758178894672,0.7031058436497682,0.7677262364848525,0.7171190018950262,0.7281471825818023,0.7413360374008685
Q86WX3,RPS19BP1,1,,,,,,,,,,,,,,,,,,
