Accession,# PSMs,Gene Symbol,Abundances_Pool_0,Abundances_Pool_1,Abundances_Pool_2,Abundances_Pool_3,Abundances_Pool_4,Abundances_Pool_5,Abundances_Pool_6,Abundances_Pool_7,Abundances_Pool_8
P0DMV9,482,HSPA1B,145809.5,149265.1,141045.9,144087.6,149300.0,147204.9,145374.4,147534.4,147931.3
P14618,514,PKM,204029.0,205129.8,201254.5,207216.4,207276.0,208042.3,204863.7,207412.1,201966.2
P04406,657,GAPDH,212048.2,247846.8,207558.0,233013.4,241415.9,234870.7,229803.2,239102.8,221031.9
P18206,283,VCL,138420.2,140763.3,135654.9,134624.7,141706.4,132053.6,134226.8,135331.6,137504.1
P07814,194,EPRS1,46817.3,45088.7,47246.5,46791.9,46770.4,46927.4,46466.2,28816.4,46877.1
P55072,294,VCP,110586.7,108917.6,108123.4,109976.0,117952.6,111062.0,112796.6,113221.2,112262.5
P34932,261,HSPA4,116060.6,109442.0,111692.0,110876.1,114472.4,114796.7,110975.4,106675.2,113879.5
P60709,603,ACTB,180753.5,185727.4,178284.7,189463.7,197030.5,201998.8,193846.3,192820.0,183267.0
Q92945,290,KHSRP,100583.0,116133.5,106776.9,104276.2,99303.5,108952.3,108938.4,112639.4,102788.3
O43707,292,ACTN4,122096.9,114232.6,119013.5,115149.4,122706.2,115891.9,115642.2,120604.1,121128.5
P04075,525,ALDOA,168983.6,191450.4,164970.3,167459.1,168032.7,171868.0,170681.2,176767.7,169131.0
Q00610,214,CLTC,56878.7,54017.3,55891.8,57576.3,56468.1,56665.6,57493.4,43832.2,56924.1
P78371,325,CCT2,99903.5,101271.2,98417.7,98868.6,105352.8,102647.6,100758.5,102699.4,101863.0
Q02952,142,AKAP12,67763.8,63785.9,68705.9,63420.1,65948.1,67432.3,66332.2,70292.0,68595.6
P38646,287,HSPA9,121459.0,129453.6,118273.8,123477.7,122912.1,126465.2,126164.6,126173.4,125425.9
P49321,247,NASP,108096.2,110172.7,109524.1,107853.8,103623.3,106006.2,106190.6,114776.0,106068.6
P78527,198,PRKDC,45694.7,47197.0,47795.1,46462.9,47595.7,48787.4,48195.0,34490.8,47043.6
P27816,224,MAP4,100923.9,96414.5,103372.2,102277.8,97319.8,98722.2,97209.5,103775.4,101399.5
P48643,291,CCT5,145639.2,149015.7,144927.9,146504.1,147960.2,143792.0,147598.4,149472.2,144685.0
P31948,258,STIP1,127343.3,130013.7,121001.5,129060.6,112931.0,118099.8,123333.6,122562.7,126134.5
P49368,264,CCT3,121289.9,120405.2,119272.3,117452.1,126445.6,121323.6,121312.5,123950.4,122706.2
Q15075,155,EEA1,89167.7,85848.8,89633.9,85092.7,82695.8,83690.1,84086.8,88837.2,88408.9
O00410,212,IPO5,96957.5,92409.9,96273.1,96930.1,100745.6,97198.1,100270.2,99563.3,96717.0
P50991,260,CCT4,111561.1,118557.5,109449.8,118830.9,119291.9,117492.2,117906.3,115391.1,113701.3
P10809,233,HSPD1,75800.2,66217.4,74075.5,75654.1,72321.4,73171.1,73704.2,67461.1,73253.8
P22102,179,GART,57471.7,55000.9,58784.2,67432.0,59372.2,62878.2,60094.6,50989.3,60446.3
P26038,224,MSN,105494.6,102461.3,100258.2,98620.1,94071.9,100062.6,95481.4,104563.8,103298.7
P50990,269,CCT8,134336.7,141919.5,131281.2,140418.2,133867.9,135917.8,136210.7,139409.5,136403.3
P00558,318,PGK1,144978.9,161720.3,136693.6,142108.2,152258.1,152441.0,144541.7,152108.5,143667.2
Q16531,218,DDB1,100540.9,111818.3,99874.5,95951.5,100841.4,98501.7,100339.1,103343.2,99362.4
Q99832,274,CCT7,103779.9,105596.9,102999.2,103652.1,107311.2,104952.2,102404.4,105964.0,104059.9
P13797,271,PLS3,153411.8,172959.4,148922.5,151493.9,158519.7,156279.8,155442.1,160515.1,152205.3
P33176,160,KIF5B,58941.8,50269.8,59242.6,58293.3,58175.1,59644.6,59300.5,58737.7,60458.2
P46821,137,MAP1B,60674.8,56875.7,63611.6,62339.1,61846.0,60586.3,61460.6,64829.3,62829.8
Q92598,167,HSPH1,65314.1,58666.9,64988.8,64991.3,63116.9,63887.5,64424.9,57674.2,66009.1
P29401,230,TKT,106055.7,110382.2,103690.8,101963.9,107426.2,104376.9,104445.0,109115.5,104076.1
P06737,214,PYGL,115497.2,105542.1,113312.7,119004.1,117646.7,112922.1,114770.4,116737.1,113741.7
O75533,124,SF3B1,44980.5,39305.3,42862.2,42821.9,42750.5,42599.5,45677.5,39961.5,45758.8
Q86VP6,202,CAND1,110083.7,113138.8,110914.8,106521.6,109742.8,105234.7,104427.7,111669.6,107408.2
P27708,139,CAD,36783.7,35881.8,37372.6,36747.4,37873.8,38289.2,37728.5,34805.8,37419.8
Q13263,191,TRIM28,57096.9,51034.6,55832.2,60583.8,57066.8,56169.4,57558.7,54657.8,58222.3
P14625,208,HSP90B1,109652.5,87562.4,102156.9,104102.3,106521.6,101867.8,101608.7,104479.0,107483.9
Q96AE4,189,FUBP1,71749.9,75809.9,72878.7,71153.0,66246.7,69206.2,69527.4,75740.9,73026.9
P49588,182,AARS1,80728.3,71501.3,80060.7,86068.3,77175.1,78370.0,81218.9,80618.8,81481.1
P11586,136,MTHFD1,35331.0,35019.7,35897.3,35408.7,35424.3,36333.0,36362.2,24449.7,34693.2
P11021,224,HSPA5,86760.2,87742.5,83174.5,82048.1,88319.5,84318.7,83980.5,86428.2,84545.5
P17987,241,TCP1,106286.4,109301.0,107574.8,110559.8,113963.7,111082.7,111243.7,111442.7,109303.4
P22314,198,UBA1,54649.3,52102.7,54496.0,54926.6,53861.6,54520.2,54007.8,44720.2,54385.6
P12814,219,ACTN1,48201.3,47555.8,47912.8,46717.8,49716.8,46184.5,45986.8,47974.8,48957.9
P68104,294,EEF1A1,102700.6,101732.9,98087.6,103658.8,101734.0,103884.8,103199.0,90784.8,99807.8
Q5T4S7,132,UBR4,44277.9,40962.2,44120.0,47285.2,45286.4,44097.9,45336.0,43380.4,45678.6
P13667,170,PDIA4,74199.3,75204.3,71093.5,71081.9,70809.1,71004.6,71902.2,71761.9,72743.1
P04264,165,KRT1,71973.0,102232.1,110367.0,56336.3,54371.7,86860.5,55679.9,123458.6,63152.2
P49736,160,MCM2,53491.6,48455.7,50766.5,53991.0,53205.9,52772.2,55165.9,49139.9,54057.8
Q9Y520,144,PRRC2C,47830.7,49663.6,52761.1,49526.1,46092.0,49312.4,50210.8,52498.4,50888.7
O43491,121,EPB41L2,54050.4,50026.2,54276.8,53123.6,53183.1,52609.6,53498.3,52931.5,54978.7
Q9UBT2,142,UBA2,64209.6,65064.0,63261.3,61674.8,66297.7,65462.8,65169.0,65887.2,63340.4
P06744,226,GPI,97357.1,98826.5,93503.4,108506.9,106975.5,106524.5,105586.5,101958.7,99644.8
Q9BXJ9,152,NAA15,77941.7,61032.8,69471.1,73171.6,75903.4,74487.1,76768.6,73905.9,75296.9
P50395,176,GDI2,92461.7,101585.0,90222.8,89381.9,99334.1,93262.0,92532.8,94511.8,93114.3
P07195,390,LDHB,157704.3,162059.5,154298.6,148732.0,159723.1,160530.3,157248.6,166570.1,154328.0
P18669,240,PGAM1,91431.1,86059.2,91500.3,89026.7,91766.5,91342.4,90404.9,94816.3,88084.2
Q99460,169,PSMD1,74956.4,73158.0,74679.2,72975.8,75928.0,73601.3,72898.2,77104.6,74850.9
P53396,186,ACLY,72216.6,69862.0,73646.6,75357.8,71003.2,75837.9,76284.0,66353.4,71086.3
Q02790,147,FKBP4,64939.8,53316.3,62408.9,60521.3,62682.7,60861.1,62320.9,59705.6,63790.4
P05455,170,SSB,94710.8,89841.9,89768.4,87343.0,88256.7,85189.4,88242.3,88064.1,87384.9
Q14974,158,KPNB1,64104.1,60818.0,61367.5,65952.0,64939.8,62739.5,65205.0,63810.4,63233.5
