Accession,# PSMs,Gene Symbol,Abundances_Pool_0,Abundances_Pool_1,Abundances_Pool_2,Abundances_Pool_3,Abundances_Pool_4,Abundances_Pool_5,Abundances_Pool_6,Abundances_Pool_7,Abundances_Pool_8
Q7Z3T8,27,ZFYVE16,15127.7,16033.7,15617.8,15676.7,16290.5,16648.7,15763.9,17221.1,15123.5
Q9NQW7,32,XPNPEP1,14096.7,13906.0,14182.6,13444.5,14154.2,14753.8,14445.8,12415.5,13561.7
P08559,31,PDHA1,13202.7,12141.8,11734.4,12386.2,11760.9,11488.7,11638.4,9904.4,12318.2
Q70J99,29,UNC13D,5582.5,5423.6,5690.8,5904.9,5643.4,5460.3,5522.0,4205.6,6048.4
Q6PKG0,26,LARP1,6823.7,6850.9,6914.8,6966.4,7483.5,6983.6,6629.8,5415.7,7049.0
Q13428,31,TCOF1,12964.7,12983.2,13548.5,13548.3,13896.8,15091.5,15138.5,14092.4,15225.6
Q16773,20,KYAT1,9451.0,9551.1,9959.8,10102.0,10275.3,10203.5,9105.7,10749.3,9441.1
O43765,35,SGTA,20232.9,20148.4,20388.7,20219.3,20045.6,19385.1,20634.4,20058.9,19371.9
Q92841,31,DDX17,4383.2,4236.2,4200.7,4050.2,4268.1,5321.9,4723.4,3847.6,4165.3
Q9H6T3,28,RPAP3,11651.0,11031.3,10392.1,11292.2,11071.6,10645.6,10946.2,10115.4,11325.1
Q15185,60,PTGES3,25969.4,25496.5,26143.6,25938.5,23837.4,25260.2,26941.9,23901.0,24531.3
O15382,33,BCAT2,17492.6,17693.1,17873.1,17393.7,17982.7,18115.1,17341.8,19139.2,17538.0
P33241,26,LSP1,10057.1,10245.4,9721.8,9756.7,10330.7,9612.0,10069.0,11029.0,10542.3
P31323,27,PRKAR2B,8458.3,8333.8,5182.9,7376.9,8168.2,5073.9,7044.2,4805.8,7696.5
Q99614,36,TTC1,19112.3,18871.2,17635.7,17488.9,18405.9,18019.8,18371.1,18297.1,18156.8
O75717,23,WDHD1,6073.8,6023.5,6299.6,6144.9,6319.5,6283.4,6064.4,5206.5,5957.8
Q96TA1,35,NIBAN2,11214.2,10367.2,10756.8,11260.4,10777.7,10631.8,10634.4,9696.8,11215.6
Q6NVY1,46,HIBCH,29860.6,27979.6,27808.2,29077.8,28651.9,26464.5,27474.0,30300.5,30109.9
Q13409,20,DYNC1I2,7171.2,7359.2,6873.9,7197.2,7397.2,7255.8,7289.8,7214.0,7463.6
Q9GZS3,21,WDR61,9529.8,9239.6,9476.5,9886.9,9308.5,9438.2,9576.9,9878.7,8882.3
O75439,31,PMPCB,15048.5,14193.4,19885.8,13934.8,14586.8,19480.0,12951.2,20922.3,14003.9
P35219,24,CA8,11567.0,10865.2,10977.4,11294.4,11227.9,10790.9,10737.7,10617.2,11200.8
Q9BS26,43,ERP44,16604.8,16979.4,16633.6,17012.9,16960.0,16869.7,16415.9,17319.3,16846.5
Q9HCN8,36,SDF2L1,4800.1,5005.9,5067.0,4951.9,4569.8,5189.1,5270.2,4936.6,4679.8
Q13112,31,CHAF1B,11335.2,11313.7,10581.4,10403.6,11242.0,11198.0,10693.9,10758.9,10957.9
Q14CX7,34,NAA25,8414.0,7950.7,7890.0,8573.9,8209.8,7831.4,7987.6,7629.0,8828.0
Q9UHD9,42,UBQLN2,4082.4,4115.5,4292.6,4385.5,4145.4,4409.2,4119.1,4401.8,4179.2
Q9NWV8,33,BABAM1,11456.2,11427.7,11278.9,11143.9,11309.7,11274.6,11259.3,11760.0,10908.0
Q0VD83,27,APOBR,5723.8,6144.4,5984.7,5629.9,6145.0,5992.5,6089.6,6184.8,6199.3
Q9UKG1,28,APPL1,10629.4,10764.4,10597.2,10905.1,10759.4,11074.1,10727.5,10864.8,10783.4
Q9Y2L1,31,DIS3,10013.6,9644.2,9688.3,10097.1,9535.0,9359.6,9477.0,8507.3,9654.4
P14550,27,AKR1A1,11198.0,10697.7,10498.7,10642.3,10333.0,10853.8,10405.7,8355.7,10621.5
P60228,32,EIF3E,11789.9,11185.0,11158.1,11289.2,11181.6,11652.0,11039.4,6980.1,11588.6
P49902,37,NT5C2,17982.0,18849.3,18770.5,19023.4,19256.2,18595.1,18312.6,20789.9,18882.0
Q15819,62,UBE2V2,23608.0,24326.7,24706.1,24621.9,24683.2,24151.0,23134.6,25824.7,23628.6
Q9Y6E2,39,BZW2,12782.2,12140.1,11711.3,12425.2,12623.2,11711.2,12077.2,7900.6,12975.9
P51398,23,DAP3,9861.8,9614.4,9146.7,9435.7,9764.8,10016.2,9303.0,8490.4,9627.0
Q06124,40,PTPN11,10053.8,10269.8,10283.2,10540.4,9970.5,10580.7,10726.5,9513.0,10224.4
P00813,26,ADA,13178.2,13765.8,13318.0,13134.1,13905.5,13297.6,13257.1,14183.9,13244.0
Q13492,35,PICALM,18256.4,17798.2,17886.5,17969.5,18436.7,19093.5,18666.0,18695.4,18160.2
P48163,28,ME1,12827.7,13155.0,13116.9,13336.8,13239.7,12941.2,13129.9,14222.8,13339.1
P62993,43,GRB2,21002.2,22503.6,22238.1,19469.7,21370.3,21508.2,21434.6,21390.6,21329.9
Q8TD19,23,NEK9,7845.1,8128.8,10321.9,8625.7,7481.9,10332.4,9961.9,9950.6,8077.9
Q8TCD5,44,NT5C,10466.6,10664.6,11197.4,10976.7,11559.2,11416.3,10778.9,11510.2,10727.3
P27707,40,DCK,18808.2,20968.7,18951.2,22132.3,22215.7,21247.6,22038.9,23776.6,22061.3
P51570,33,GALK1,5274.1,4765.2,5155.4,5226.1,5236.4,5204.8,5105.1,4683.2,5229.5
Q9Y383,32,LUC7L2,8393.3,8313.3,8235.5,8219.7,8181.8,8247.2,8291.2,7656.9,8300.1
Q9BU89,20,DOHH,4130.9,4233.1,4435.8,4330.8,4103.1,4546.0,4597.1,4138.6,4444.9
Q9BYB4,31,GNB1L,16569.1,17400.2,16983.7,16605.4,17026.2,17531.4,17478.3,17714.1,16306.6
Q15056,53,EIF4H,23443.3,23303.1,22536.5,22202.6,23920.8,23393.2,23538.1,23107.4,24794.1
O14545,31,TRAFD1,8820.5,9585.1,9252.5,9095.4,8810.0,8998.0,9421.8,9260.4,8452.3
Q9Y3B7,23,MRPL11,9799.9,10096.8,9827.5,10264.3,9770.5,9526.5,9550.5,7996.3,9992.4
Q96CN7,55,ISOC1,24415.9,24364.2,23758.9,23034.3,25070.8,24772.1,23816.7,25247.4,23997.0
P62316,51,SNRPD2,25950.6,28027.3,26357.1,26683.9,27711.3,26925.6,26007.5,28303.8,27628.4
O43747,48,AP1G1,21174.4,21186.8,20351.5,21737.3,21890.6,20805.7,20737.5,19575.6,21595.3
Q9BY32,45,ITPA,25161.8,25074.5,25742.0,24833.8,24918.5,26620.9,24774.8,27588.3,24621.6
O00505,33,KPNA3,4665.8,4731.7,4590.4,5145.5,4934.8,4927.1,4728.6,5202.6,5284.9
O95684,23,CEP43,10569.0,9633.8,10535.4,10592.9,10295.7,10373.3,10588.5,10364.5,9927.7
