Accession,logFC,-logPval,-logAdjPval,"Abundances (Normalized): F9: 126, Sample","Abundances (Normalized): F9: 127N, Sample","Abundances (Normalized): F9: 127C, Sample","Abundances (Normalized): F9: 128N, Sample","Abundances (Normalized): F9: 128C, Sample","Abundances (Normalized): F9: 129N, Sample","Abundances (Normalized): F9: 129C, Sample","Abundances (Normalized): F9: 130N, Sample","Abundances (Normalized): F9: 130C, Sample","Abundances (Normalized): F9: 131N, Sample"
Q14145,0.0168,0.2019,0.0612,3884.1,3704.4,3782.4,3987.2,4070.6,3736.5,3925.6,3933.2,3976.0,4081.7
Q7Z4W1,0.0135,0.2018,0.0612,17608.9,17929.2,17363.0,17342.6,18086.7,16999.4,18121.6,18057.1,17647.4,18354.9
Q8TBC3,-0.0237,0.2018,0.0612,847.6,934.6,896.8,944.8,989.2,893.8,959.5,839.9,912.4,930.6
P46926,-0.0174,0.2019,0.0612,16458.6,16164.6,16030.7,16184.7,16418.2,14690.6,16142.3,16700.6,16448.4,16378.3
Q93050,0.0924,0.2018,0.0612,58.4,56.8,80.4,50.6,47.9,92.4,55.9,63.6,57.3,47.3
Q9Y617,-0.0208,0.2022,0.0612,43322.5,44675.8,44747.1,44773.9,43922.8,40189.3,45846.4,46731.6,41576.7,44259.6
P50453,0.0152,0.201,0.061,3657.4,3704.0,3676.4,3827.1,3675.7,3497.6,3791.1,3789.0,3802.8,3865.4
Q96D09,-0.0326,0.2008,0.061,1557.6,1736.3,1495.4,1529.1,1804.6,1601.0,1568.3,1654.8,1701.2,1410.0
Q8N9N8,0.022,0.2011,0.061,4775.8,5660.2,5230.5,5109.6,5231.2,5348.3,4989.0,5447.3,5198.7,5397.4
Q9HD33,0.044,0.2008,0.061,184.6,186.4,164.2,180.5,160.3,220.1,162.4,157.3,189.3,178.9
Q9Y5X3,-0.0134,0.201,0.061,14874.3,14043.3,14220.4,13974.0,14025.4,13735.3,14175.1,13764.9,14525.9,14275.8
Q9NWV4,0.0172,0.2011,0.061,10463.2,10860.3,11296.6,11211.4,11626.7,11045.9,11277.9,11838.1,10948.3,10999.3
Q9NZW5,-0.0197,0.2003,0.0606,1021.3,980.4,1026.5,1038.8,1075.8,1023.6,970.5,1002.3,975.5,1104.4
Q9Y6G9,-0.0124,0.2002,0.0605,24004.4,22807.1,22789.4,23363.3,23538.8,22548.3,22895.8,23002.9,23896.6,23161.7
Q68CP9,-0.0517,0.1993,0.0598,121.3,117.0,120.5,125.0,143.6,125.3,117.8,92.9,133.3,140.4
O00429,0.023,0.1989,0.0597,15997.4,15760.1,15325.3,15707.1,15923.6,16040.5,14854.4,15406.5,15800.7,18045.6
Q9HAN9,0.0288,0.1988,0.0597,100.2,90.5,103.4,105.2,112.3,111.6,107.9,102.2,103.4,96.2
Q9UKV8,0.0226,0.1988,0.0597,1692.9,1881.9,1874.1,1806.7,1748.8,1867.6,1700.1,1740.3,1897.4,1945.6
P28330,-0.0198,0.1991,0.0597,507.5,490.1,492.3,475.9,466.0,451.2,475.2,460.9,505.9,507.2
Q9NUY8,-0.016,0.1981,0.0593,949.9,1002.3,981.7,1003.4,937.5,963.5,909.5,981.9,1002.6,964.1
Q15814,0.0284,0.1981,0.0593,4450.5,4560.7,4216.8,4511.4,4749.3,5224.9,4330.4,4792.0,4343.9,4296.9
P61313,0.0175,0.1979,0.0592,21290.5,22151.9,22012.8,21323.3,21772.5,21858.9,20687.0,21593.5,23792.8,22043.4
O15514,0.018,0.1976,0.0592,4304.5,4486.5,4326.0,4387.2,4545.3,4100.9,4665.4,4526.5,4441.8,4609.9
Q15047,0.0276,0.1976,0.0592,581.4,708.6,633.4,670.3,732.1,667.1,665.7,692.0,675.0,679.3
Q96PM5,0.0197,0.1975,0.0592,9135.6,9230.9,9270.4,9663.6,9541.8,8613.2,9668.5,10003.2,9458.7,9794.4
P78362,0.0143,0.1976,0.0592,2502.0,2552.7,2505.2,2553.1,2533.0,2561.4,2605.1,2427.3,2688.0,2497.3
Q13330,-0.015,0.1971,0.0591,5580.1,5705.4,5425.8,5572.7,5828.8,5524.3,5360.4,5475.2,5878.6,5588.1
Q7Z7F7,-0.0455,0.1973,0.0591,169.4,184.2,178.9,151.2,178.2,182.8,153.9,145.5,202.6,154.9
Q9ULC4,0.0137,0.1953,0.059,14747.7,15313.2,15426.9,15677.0,14928.3,14693.3,15810.4,15738.9,15357.1,15229.4
O75398,-0.121,0.1964,0.059,45.5,32.8,33.5,51.9,46.7,39.6,48.6,57.3,33.6,21.5
P46109,0.0156,0.1955,0.059,17751.7,18879.5,17128.7,18062.9,17927.4,18124.0,17796.0,17484.3,18971.7,18342.0
Q9UGU0,0.0187,0.1963,0.059,523.4,533.3,537.0,516.6,524.5,586.8,538.3,525.5,512.1,509.8
Q99638,-0.0189,0.1953,0.059,2142.1,2158.4,2148.6,2213.5,2223.7,2009.9,2209.0,2186.7,2041.8,2310.2
O94842,-0.0243,0.1954,0.059,1277.4,1337.6,1371.7,1395.7,1433.5,1346.6,1238.3,1304.0,1494.3,1326.5
Q9BRT3,0.0189,0.1965,0.059,1488.2,1453.0,1430.2,1507.9,1463.5,1373.8,1522.4,1596.8,1447.6,1507.5
P46821,-0.0115,0.1958,0.059,53909.7,53619.2,53794.4,53082.4,52204.1,50931.1,52630.6,53173.2,54151.4,53654.2
P84103,0.0218,0.1951,0.059,2237.0,2225.7,2205.7,2205.0,2173.6,2480.3,2239.1,2318.3,2073.4,2126.4
O15397,-0.0624,0.1966,0.059,2117.5,1996.6,2931.7,1986.5,2134.8,2749.0,1927.1,1914.1,2054.8,2032.4
Q7Z7H5,-0.0348,0.1954,0.059,1205.3,1204.3,1143.2,1239.2,1327.3,1249.7,1192.6,1147.0,1377.6,1027.2
Q9UL46,0.015,0.1964,0.059,11458.0,11655.6,11589.1,12071.0,11977.8,11223.4,12352.6,12063.2,11650.6,12097.6
P50454,-0.0135,0.1962,0.059,27033.1,27079.1,26615.0,27071.6,26496.5,25069.5,27412.2,27281.2,26547.8,26793.0
Q9BX68,0.0216,0.1957,0.059,3538.8,3795.5,3448.8,3644.4,3866.9,3598.5,3894.3,3571.7,3964.5,3545.7
P49711,0.0121,0.1955,0.059,11400.4,11189.5,11156.6,11314.0,11680.4,11060.4,11352.5,11669.8,11391.7,11748.0
Q12872,0.0159,0.1969,0.059,2477.6,2512.5,2491.2,2693.9,2684.2,2601.9,2544.6,2605.2,2692.2,2551.2
Q96JC9,-0.0259,0.1941,0.0589,331.1,354.4,326.8,354.2,352.9,296.9,360.9,331.3,354.2,348.5
Q96LD8,-0.1153,0.1946,0.0589,1991.3,886.0,877.8,930.0,833.2,931.0,1195.0,767.5,830.3,1135.0
Q92576,-0.0132,0.194,0.0589,6788.0,6787.7,6783.9,6856.2,6817.0,6535.1,6676.9,6570.0,6809.6,7147.9
P31947,0.3132,0.1947,0.0589,609.4,661.8,586.4,498.6,596.9,5190.7,481.4,308.7,604.5,446.9
Q9P0N9,0.0575,0.194,0.0589,64.6,62.1,58.4,49.6,77.1,58.7,55.7,71.4,62.2,75.3
O75446,-0.0214,0.1939,0.0589,951.8,964.2,930.3,929.4,958.1,929.5,934.6,836.7,1008.4,963.1
P48553,0.0378,0.1947,0.0589,417.6,467.0,483.7,500.7,505.4,550.0,514.3,433.0,435.4,510.2
Q9NQR4,0.0158,0.1946,0.0589,19788.3,20273.8,18926.5,20522.0,19968.2,18959.1,20407.6,20864.3,20003.3,20350.2
Q96IJ6,0.0156,0.194,0.0589,6403.2,6270.8,5996.3,6356.1,6252.2,6000.5,6245.2,6569.9,6590.5,6224.8
Q9HCH5,-0.0545,0.1942,0.0589,146.8,139.4,169.6,144.5,165.2,162.5,156.3,108.5,150.1,165.8
P55072,0.0117,0.1934,0.0587,81221.3,81003.2,81831.8,82347.2,80366.8,78101.7,82946.2,82948.4,82755.7,83440.2
Q1KMD3,-0.0167,0.1936,0.0587,9364.1,8842.7,8745.2,8816.0,9122.6,9176.7,8397.9,8660.1,9351.5,8805.7
Q15013,0.0518,0.1931,0.0585,77.6,108.5,83.6,94.3,103.0,102.6,110.9,81.5,89.1,99.0
Q9UNL4,0.0338,0.1928,0.0585,103.9,122.8,132.8,110.2,107.8,107.1,115.1,125.5,121.8,120.1
Q9UMY1,-0.0204,0.1928,0.0585,991.5,983.6,920.2,961.6,888.4,871.6,912.5,941.4,978.4,975.2
Q92973,-0.0166,0.1927,0.0585,40815.0,39360.3,38949.1,39428.8,39499.0,35992.5,40276.8,40248.5,39089.0,40334.6
Q9UBS4,-0.0137,0.193,0.0585,7289.8,7153.3,7334.4,7683.5,7585.1,7153.8,7656.5,7346.0,7269.2,7266.7
P29372,0.0303,0.1925,0.0585,1283.2,1216.6,1302.4,1283.5,1480.5,1333.2,1294.4,1209.6,1487.2,1382.6
Q16762,-0.0244,0.192,0.0582,2263.1,2273.2,2062.2,2057.0,2266.0,2114.8,2188.7,2139.1,2343.6,1958.1
Q8N726,0.0719,0.192,0.0582,69.0,93.8,89.0,90.3,87.6,129.0,88.8,69.8,92.2,79.3
P63279,-0.0126,0.1921,0.0582,12266.4,11862.5,11792.8,12051.9,11847.2,11439.8,12300.1,12142.7,11759.7,11674.6
O00213,-0.0156,0.1915,0.0579,821.3,823.5,784.9,804.1,821.0,807.3,796.5,806.3,850.1,753.4
P24666,-0.0145,0.1908,0.0574,9518.2,10101.0,9459.9,9735.0,10104.9,9257.2,9917.1,9885.8,9838.4,9528.2
Q9HAP2,0.1186,0.1903,0.0572,112.4,149.4,103.5,83.1,160.9,144.7,143.1,90.9,92.2,202.0
Q92530,0.0175,0.1906,0.0572,6757.3,7251.1,7247.4,7464.7,7309.2,6953.2,7260.9,7640.1,7046.8,7574.7
Q9Y2J2,0.0167,0.1904,0.0572,4915.4,4970.3,5076.6,5138.0,5011.8,4718.5,5067.3,5170.6,5050.7,5419.4
P22570,-0.09,0.1891,0.0563,923.5,982.9,1323.7,890.7,921.2,1555.8,758.1,849.0,869.0,829.4
Q5T2E6,0.0214,0.1894,0.0563,6294.9,6267.6,6176.4,6705.4,6557.2,5958.0,6362.0,6667.9,6435.4,7095.7
Q7LG56,-0.0211,0.189,0.0563,2354.1,2264.5,2538.3,2422.1,2205.3,2187.9,2478.4,2337.8,2278.0,2326.5
P36776,0.0136,0.1891,0.0563,28025.6,26806.7,27404.9,27449.3,27216.0,26121.3,27399.4,27670.6,28604.2,28466.9
Q8WWZ3,0.0178,0.1887,0.0561,597.1,594.2,629.0,631.6,596.1,597.6,593.2,634.1,598.6,664.1
Q06609,-0.0201,0.1882,0.056,206.8,230.9,217.9,209.2,223.9,214.5,199.7,220.5,228.0,211.1
Q9UBS8,0.0275,0.1883,0.056,2400.7,2281.9,2415.6,2486.0,2310.2,2317.8,2202.8,2720.5,2302.8,2613.3
Q9Y5V0,-0.0185,0.1881,0.056,3944.2,4056.1,4023.8,3999.7,3896.6,3723.5,4129.9,3952.3,4200.4,3686.2
Q9Y5K8,-0.0129,0.1884,0.056,8274.5,8677.3,8097.8,8500.2,8661.4,8096.8,8457.9,8504.9,8276.0,8491.0
P04424,0.017,0.1876,0.0556,5454.1,5577.4,5361.1,5269.6,5542.3,5371.0,5324.4,5312.1,5981.0,5560.3
O75976,0.0729,0.1873,0.0554,27.0,32.2,26.5,17.1,21.8,23.5,22.5,26.0,26.2,30.7
Q9Y6D9,-0.0118,0.1869,0.0553,3845.7,3927.1,3951.8,3944.9,3889.1,3852.8,4008.0,3735.6,3980.3,3828.7
Q96GX9,0.0152,0.1866,0.0553,8407.2,8664.5,8661.8,8927.8,8560.6,8168.9,8735.3,9172.2,8862.2,8762.2
P30405,-0.0141,0.1868,0.0553,19811.2,20008.3,20048.6,20516.3,19919.0,19269.3,20991.2,20476.2,19496.9,19151.7
Q14152,-0.0149,0.1866,0.0553,36213.6,35597.6,34747.2,35108.0,36331.8,36611.8,34787.0,34020.1,37054.1,33792.3
Q8WU90,-0.0153,0.1867,0.0553,17733.3,16682.9,17625.1,18252.7,17837.5,17450.8,17201.8,16575.7,17900.8,18078.1
O43353,-0.0126,0.1857,0.055,3018.5,3055.0,3052.0,3112.4,3114.9,3013.1,3098.9,2892.8,3064.7,3155.4
Q6ZQX7,-0.0438,0.1862,0.055,134.2,125.2,126.6,143.4,142.6,142.9,161.6,116.9,117.8,117.5
Q06547,-0.0129,0.1857,0.055,1602.6,1562.8,1599.6,1623.4,1576.3,1553.2,1589.6,1573.5,1664.1,1516.2
O75191,-0.028,0.1861,0.055,248.5,298.1,243.7,250.1,278.4,274.8,258.5,240.8,263.7,252.9
Q9UL63,-0.0141,0.1858,0.055,5046.3,4906.1,5000.8,5347.8,5264.6,4931.5,4945.8,5103.8,5132.8,5194.9
O94903,0.0127,0.1851,0.0549,6211.0,6219.6,5977.8,6109.9,6223.6,6034.3,6426.6,6364.5,6218.9,5977.5
Q5BJD5,0.074,0.1852,0.0549,23.8,27.5,26.2,32.2,33.4,41.0,25.8,26.9,35.8,23.4
Q6Y288,0.0306,0.1855,0.0549,109.6,119.7,129.5,123.3,120.2,132.8,117.7,109.2,119.8,136.9
P61916,0.0429,0.1853,0.0549,7624.8,8658.2,8309.2,7815.1,9928.0,10109.7,8426.8,8388.4,9353.1,7389.3
Q15269,0.1238,0.1849,0.0549,219.6,218.1,201.6,258.2,345.5,230.9,549.6,237.4,197.1,222.8
Q9NNW5,-0.0272,0.1849,0.0549,360.5,394.0,408.0,357.9,426.3,398.2,345.9,401.1,388.1,375.3
P31153,0.0139,0.1848,0.0549,30749.0,31337.6,32510.1,31581.7,30675.4,31799.1,31952.1,32754.7,29841.7,32065.8
O76074,0.0171,0.1842,0.0543,1395.9,1368.4,1401.3,1389.6,1424.5,1318.9,1366.2,1514.4,1464.6,1406.6
P49366,-0.0163,0.184,0.0543,5738.4,6108.1,5955.7,6031.1,5723.2,5530.5,6001.2,6139.3,5622.3,5943.9
Q86TX2,0.0139,0.1839,0.0543,8921.2,8882.6,8741.9,8850.0,9228.1,8438.3,9107.5,9182.8,9067.9,9278.5
P78318,-0.0179,0.1837,0.0542,4599.9,4563.0,4241.2,4490.1,4586.4,4130.4,4430.0,4362.3,4576.8,4715.7
Q13576,0.1621,0.1836,0.0542,178.4,185.7,158.8,172.7,186.9,184.8,183.8,105.2,153.9,541.6
B7ZAP0,-0.0176,0.1833,0.0541,3979.0,4012.4,3818.5,3930.4,3922.9,3766.0,3805.1,3641.4,4164.0,4070.2
P28370,-0.0391,0.1827,0.0539,156.6,166.7,185.9,174.3,180.8,206.2,174.9,158.3,148.6,157.4
Q9NQA3,-0.0427,0.183,0.0539,151.7,163.6,177.5,181.2,174.1,175.9,194.6,133.1,156.8,167.8
Q96FJ2,0.0294,0.1829,0.0539,1721.7,1518.3,1422.4,1532.0,1600.0,1451.6,1805.8,1527.8,1588.9,1585.8
O95248,0.0474,0.1824,0.0539,178.8,188.4,167.1,175.8,194.1,191.6,187.6,148.7,237.5,178.3
P57058,-0.0298,0.1826,0.0539,263.1,290.9,269.9,252.1,292.4,236.4,284.2,283.4,251.4,286.9
O75083,0.0123,0.1826,0.0539,33541.5,32320.4,31219.0,32248.7,31936.6,31406.6,32471.7,33620.9,32553.4,32593.6
Q9NRI5,-0.0647,0.1824,0.0539,720.3,627.5,557.1,491.9,515.7,532.5,567.4,408.4,672.7,614.9
P62699,-0.0198,0.182,0.0537,1951.4,1887.2,1772.6,1818.0,1877.4,1772.7,1747.5,1793.3,2020.9,1853.2
Q9NWB7,0.0691,0.1815,0.0535,96.0,95.9,99.8,114.1,88.8,110.8,135.6,120.0,72.9,90.0
Q14244,0.0288,0.1814,0.0535,450.3,507.4,494.2,534.1,430.8,520.6,489.0,522.0,456.3,473.5
Q9H0F7,-0.0138,0.1818,0.0535,3205.2,3196.7,3014.6,3190.5,3070.0,2974.0,3247.0,3115.6,3065.0,3128.1
Q96AG4,-0.0126,0.1816,0.0535,3405.8,3504.6,3278.1,3333.7,3423.6,3336.4,3420.0,3369.9,3451.0,3221.4
Q99613,-0.0122,0.1812,0.0534,17634.1,17369.2,16352.5,16907.9,17542.2,17115.5,16889.4,17046.4,17376.5,16629.6
Q6ZSB9,0.0844,0.1809,0.0533,135.7,102.7,112.5,107.2,179.4,181.2,130.6,143.4,97.5,122.1
Q9P021,-0.0192,0.1797,0.0533,1363.3,1484.9,1377.1,1378.4,1409.2,1289.9,1468.4,1382.2,1324.0,1461.7
O60934,0.0176,0.1799,0.0533,874.7,856.7,916.1,919.1,945.9,878.3,940.6,933.8,954.2,861.8
