Accession,logFC,-logPval,-logAdjPval,"Abundances (Normalized): F9: 126, Sample","Abundances (Normalized): F9: 127N, Sample","Abundances (Normalized): F9: 127C, Sample","Abundances (Normalized): F9: 128N, Sample","Abundances (Normalized): F9: 128C, Sample","Abundances (Normalized): F9: 129N, Sample","Abundances (Normalized): F9: 129C, Sample","Abundances (Normalized): F9: 130N, Sample","Abundances (Normalized): F9: 130C, Sample","Abundances (Normalized): F9: 131N, Sample"
P23258,-0.0369,0.7365,0.2184,3526.8,3429.8,3382.1,3271.2,3494.0,3413.0,3336.7,3303.8,3315.2,3299.0
Q9Y2Y0,-0.0632,0.7359,0.218,1858.1,1747.4,1665.2,1726.4,1820.6,1559.0,1662.0,1816.6,1725.2,1681.0
Q70E73,0.1058,0.735,0.2174,435.9,411.5,440.1,456.7,413.5,558.7,446.9,482.9,423.4,421.3
A6NHL2,-0.112,0.7343,0.217,620.7,487.0,548.2,549.0,627.8,532.0,455.1,570.0,533.9,525.8
P61586,-0.0598,0.7326,0.2156,14255.8,14043.8,14337.6,14357.9,13735.3,12513.8,14896.4,13663.1,13172.7,13712.7
Q92934,-0.0597,0.7312,0.2155,1070.2,1123.6,1051.6,984.8,1057.8,938.7,1001.8,1040.6,1044.7,1047.7
P26232,0.0621,0.7308,0.2155,372.2,379.2,398.6,369.4,411.1,413.3,368.6,401.9,411.5,420.5
Q07020,0.0511,0.7303,0.2155,16767.9,16995.1,16602.9,16474.4,16957.8,17065.0,16341.6,16825.7,18560.3,18117.8
Q6UWE0,-0.0521,0.7321,0.2155,6555.9,6833.7,6659.1,7079.0,6915.8,6344.0,6376.0,6336.7,7019.9,6777.3
P37802,-0.048,0.7301,0.2155,47467.5,50093.4,46136.1,48592.4,49226.0,45867.6,49623.9,47105.0,46305.0,44755.2
Q8N1G2,0.0348,0.7301,0.2155,3751.8,3847.4,3888.5,3773.5,3878.1,4033.7,3812.7,3833.6,3994.6,3934.8
Q7L7X3,-0.2092,0.7304,0.2155,51.3,57.6,53.2,53.4,36.0,43.6,54.5,36.0,47.0,36.4
Q9P270,-0.0605,0.7301,0.2155,1083.5,1043.8,1030.9,1116.9,1086.9,1078.6,1082.1,934.5,1026.2,1025.4
Q9GZP4,-0.0514,0.7301,0.2155,17016.5,17094.3,16838.4,16798.7,17015.8,14967.4,16937.8,17210.7,16565.2,16208.2
O43660,-0.0316,0.7293,0.215,5913.5,5893.7,5695.8,5919.6,5667.1,5666.3,5697.1,5702.7,5769.3,5619.0
P35527,-0.6787,0.728,0.2149,44801.3,56870.4,11934.4,58278.3,26498.8,17751.6,41149.3,25587.0,10541.6,22678.0
Q8WVD3,-0.0605,0.7285,0.2149,883.9,828.5,839.2,917.9,911.9,807.9,804.3,824.4,863.6,901.6
Q03111,-0.0831,0.7285,0.2149,332.2,347.6,321.6,392.8,341.5,326.7,329.6,358.3,303.2,319.3
P04080,0.0788,0.7283,0.2149,8214.2,8788.2,7606.5,8454.3,9362.3,8893.2,9453.0,8860.1,9244.2,8295.3
Q14568,0.0413,0.7264,0.2144,3274.0,3091.9,3028.6,3148.2,3146.0,3093.0,3226.8,3223.3,3250.3,3350.6
P16949,-0.0608,0.7247,0.2144,28703.7,29087.0,30522.4,29005.0,29104.1,27415.1,31194.6,27016.9,28420.9,26533.7
Q9BZE9,0.0681,0.7266,0.2144,1363.2,1418.3,1371.4,1473.7,1349.8,1472.5,1338.2,1413.5,1615.6,1484.3
Q9UIA9,-0.0544,0.7256,0.2144,31463.4,29351.6,29607.3,30047.5,31312.6,26838.7,29384.4,30320.3,29338.0,30368.5
Q86VQ6,0.1498,0.7264,0.2144,79.2,63.6,60.7,59.5,71.9,67.0,79.1,66.3,68.9,90.8
Q6PGP7,0.2378,0.7256,0.2144,1663.0,1696.9,1802.0,1738.9,1655.3,2127.0,1466.7,1911.5,3187.1,1755.8
Q6GMV2,-0.0571,0.7253,0.2144,1657.0,1661.1,1692.3,1594.8,1726.3,1499.6,1559.9,1644.8,1573.9,1737.2
Q9Y2S6,0.0923,0.7259,0.2144,5490.3,6266.8,6818.2,6395.2,5708.4,6833.2,6368.0,6250.4,7126.3,6083.9
O15160,-0.0639,0.7271,0.2144,3299.1,3083.1,2976.3,2988.8,3143.6,2972.3,2870.9,2765.0,3241.2,2980.9
Q9NVR0,0.1209,0.7245,0.2144,82.7,83.3,94.0,93.2,87.9,91.1,88.6,85.6,119.6,97.6
P49748,0.0404,0.7247,0.2144,3891.5,3715.4,3762.3,3881.4,4027.5,3834.8,4027.8,3971.3,3919.8,4068.3
Q9Y262,-0.0488,0.7234,0.2137,28242.8,25995.5,25896.1,26363.4,27683.4,24711.7,25734.1,26960.8,25704.2,26586.6
O00423,-0.037,0.7233,0.2137,1909.8,1873.3,1850.9,1899.9,1959.8,1839.1,1791.9,1832.7,1866.9,1923.2
Q96NY7,-0.0902,0.7222,0.2132,403.1,431.9,389.3,430.3,460.5,344.2,398.4,429.2,417.3,400.0
O60763,-0.046,0.7221,0.2132,30492.6,29325.7,29768.0,30250.3,29540.1,26729.2,29549.6,29196.2,29462.1,29853.7
Q14331,0.0473,0.722,0.2132,1583.9,1528.0,1448.4,1489.1,1549.6,1646.2,1603.2,1504.8,1566.8,1531.6
P33991,-0.0388,0.7212,0.213,18537.3,17331.3,17406.7,16994.4,17768.8,17216.8,16684.6,17459.4,17206.9,17104.0
Q8TF05,-0.089,0.721,0.213,3920.8,3743.9,4528.4,3944.3,3717.3,4196.4,3507.4,3710.9,3579.1,3661.9
Q99848,0.0491,0.7212,0.213,2822.0,2940.6,2920.2,2983.0,2780.8,3071.9,3110.6,2974.6,3013.2,2782.4
Q9BUJ2,-0.0375,0.7204,0.2128,13023.4,12723.0,12337.4,12578.4,12500.5,12147.2,12935.6,12089.4,12232.9,12147.7
Q9BVG4,0.0429,0.7196,0.2127,15746.1,15593.7,15473.0,15919.6,15964.0,15193.3,16671.3,16891.9,16029.2,16338.0
O95149,-0.0676,0.7195,0.2127,2798.8,2731.4,2904.5,2904.5,2698.0,2591.5,2996.9,2597.2,2729.6,2499.8
Q8IYI6,-0.0568,0.7201,0.2127,866.6,823.1,815.5,801.7,800.3,848.0,727.3,791.8,795.2,789.3
Q9BZZ5,-0.051,0.7184,0.2124,32167.6,31408.9,30229.6,31293.2,32050.0,27817.7,31282.9,30436.5,31177.3,31088.4
Q96C36,0.0421,0.7185,0.2124,9014.8,9641.1,9213.4,9429.4,9345.5,9260.5,9461.3,9529.0,10146.7,9639.4
Q02078,-0.0935,0.7189,0.2124,1360.0,1175.4,1263.2,1281.7,1128.6,1087.0,1061.9,1203.5,1311.7,1159.5
Q9GZY8,0.1101,0.718,0.2123,137.5,130.3,139.2,162.9,154.6,184.3,146.9,145.1,150.8,155.3
Q8NHG8,-0.1647,0.7178,0.2123,36.4,34.0,40.8,39.9,41.0,33.7,38.5,28.0,29.4,43.7
Q9Y2Z4,-0.0833,0.7175,0.2123,668.7,679.9,664.2,609.5,648.9,616.0,660.0,655.0,634.0,530.1
O75175,-0.0432,0.7172,0.2122,3678.8,3711.4,3662.8,3648.4,3895.2,3432.1,3607.9,3657.3,3574.1,3779.7
O15287,0.1473,0.7167,0.212,123.1,120.3,163.6,148.1,163.0,156.6,161.9,183.6,138.8,150.8
Q5T7W0,-0.0996,0.7163,0.2119,138.2,111.2,129.0,118.8,116.1,106.6,116.0,103.0,123.9,122.7
Q13601,0.0666,0.7158,0.2116,450.0,435.7,453.0,453.4,453.5,485.6,438.6,505.2,429.3,498.0
Q96B23,0.5931,0.7114,0.2111,28.1,25.2,32.7,24.1,44.4,34.6,33.2,30.0,158.2,35.5
Q9NP66,-0.0636,0.711,0.2111,731.0,719.7,727.3,656.3,758.8,651.6,730.1,668.4,718.8,668.7
P45973,-0.0561,0.7145,0.2111,6350.4,6095.1,6332.4,6242.1,6082.0,5452.1,5980.4,6418.3,5972.3,6129.6
P22695,0.1235,0.7132,0.2111,113.1,107.1,129.1,113.9,133.0,131.0,126.1,132.7,152.1,109.0
P82933,0.044,0.7133,0.2111,4179.2,4220.3,4117.0,4265.7,4147.4,4246.4,4313.0,4166.2,4647.5,4219.0
Q8NB37,0.0398,0.7141,0.2111,2975.4,3128.5,3056.0,3131.7,2977.6,3000.8,3182.2,3239.5,3096.1,3179.4
P12429,0.0854,0.7131,0.2111,329.2,291.5,282.5,295.2,277.6,327.4,311.2,314.5,275.7,338.1
Q99417,-0.0461,0.7141,0.2111,3489.7,3555.6,3345.7,3311.9,3643.9,3210.1,3401.4,3345.2,3441.3,3397.3
A6NIH7,0.0539,0.7135,0.2111,1671.1,1612.1,1527.7,1597.3,1674.5,1624.7,1575.1,1709.5,1769.2,1714.1
O60343,-0.0295,0.7109,0.2111,26451.1,25678.7,25701.5,25900.5,25716.6,24818.7,25486.2,25084.7,25604.0,25838.2
P83731,-0.0664,0.7116,0.2111,22780.9,23709.0,20430.2,20516.1,21102.3,20309.0,20361.7,20062.4,22141.3,20659.2
O94992,0.0659,0.7127,0.2111,6815.0,7013.2,6899.7,7305.8,7080.2,6854.5,7079.8,8155.0,7059.8,7670.7
Q9H078,-0.0948,0.7112,0.2111,693.9,682.8,672.0,635.1,772.7,722.9,682.7,642.2,572.2,620.4
Q96SZ6,-0.1883,0.7118,0.2111,46.8,64.4,53.8,43.2,43.8,46.8,36.8,36.6,49.8,50.9
P78367,-0.2238,0.7109,0.2111,130.5,137.4,137.8,146.0,112.7,137.5,156.9,87.3,112.3,88.5
P34059,-0.0638,0.7112,0.2111,2225.4,2207.3,2250.5,2207.3,2102.5,1918.4,2122.8,2092.2,2327.9,2073.3
Q8N6D5,0.0747,0.7097,0.2107,697.5,692.1,642.2,674.2,679.9,721.9,666.0,648.5,794.3,743.4
P61626,-0.4173,0.7095,0.2107,74.3,71.2,74.4,62.3,53.1,58.5,42.8,32.3,34.3,110.5
O95155,-0.0361,0.7096,0.2107,9791.9,9586.5,9620.6,9420.3,10028.9,9101.7,9427.8,9464.1,9576.6,9679.5
Q5F1R6,0.1188,0.7099,0.2107,257.4,229.9,222.1,217.6,254.8,273.1,215.5,235.0,276.2,287.9
P54252,-0.0482,0.709,0.2105,4326.5,4446.3,4141.9,4232.8,3922.0,4181.0,4148.6,3976.0,4033.6,4022.8
P53990,-0.058,0.7083,0.2101,4292.0,4033.4,4169.6,4100.9,4148.7,4412.4,3922.2,3796.6,4024.0,3799.1
Q04637,-0.0393,0.7081,0.2101,27200.0,26290.4,25341.9,25494.2,26647.0,25450.6,25183.1,24747.1,26453.8,25603.8
Q9UIC8,-0.0374,0.7073,0.21,4786.3,4728.5,4498.2,4606.1,4509.5,4403.3,4589.5,4484.9,4427.0,4630.2
Q9Y5U2,0.1209,0.7072,0.21,2405.1,3309.2,2909.5,3325.7,3168.5,3155.6,3263.1,3435.3,2997.4,3499.1
Q9C0I1,0.08,0.7073,0.21,811.4,815.2,752.5,848.3,864.3,778.1,848.5,834.6,920.7,949.2
Q9Y3I0,-0.058,0.7067,0.2098,16119.4,14933.6,14396.8,14829.5,14975.4,14757.3,14167.6,13801.8,15648.1,13940.3
Q8N684,-0.0431,0.7046,0.2089,8284.6,8408.6,7962.7,8671.8,8282.8,8065.8,8435.3,7736.5,8203.0,7947.4
Q9Y265,0.0364,0.7049,0.2089,53379.4,54048.0,54195.1,54733.4,53911.4,53521.7,56100.2,57220.9,53528.2,56903.4
Q13042,-0.0443,0.7045,0.2089,3367.1,3469.5,3619.3,3479.9,3532.8,3564.6,3375.8,3312.6,3464.2,3228.1
O15400,0.0744,0.7052,0.2089,1689.0,1838.7,1740.7,1790.0,1691.1,2077.5,1731.1,1911.9,1805.9,1705.5
Q15363,-0.1474,0.7055,0.2089,816.8,836.8,901.3,762.8,837.6,1008.5,708.4,705.5,640.7,731.3
Q8N0X2,0.14,0.7036,0.2087,253.9,322.8,337.5,296.6,331.3,366.4,318.2,296.8,313.7,406.8
Q14151,0.0449,0.7028,0.2087,2904.8,3064.8,2915.3,2867.9,3091.8,2990.2,3007.2,2988.8,3098.5,3228.3
Q7Z4V0,-0.1375,0.7027,0.2087,422.0,429.6,407.7,412.6,403.2,290.0,438.3,438.0,371.7,368.9
P20839,-0.0519,0.7029,0.2087,4839.5,4339.5,4219.6,4467.8,4402.4,4138.9,4218.4,4317.4,4417.5,4372.2
Q5ST30,0.0749,0.7029,0.2087,430.1,426.1,379.1,447.3,436.7,438.4,410.0,441.1,455.8,486.9
Q9H444,0.0541,0.7031,0.2087,11491.8,11467.9,11436.1,12563.8,11837.1,11489.2,12915.9,11963.7,12057.3,12631.6
Q712K3,-0.0388,0.7023,0.2086,5113.3,5480.6,5237.0,5310.9,5316.6,5021.4,5235.7,5334.6,4983.3,5183.8
P37198,-0.0456,0.6998,0.2085,6735.4,7342.4,6948.7,6775.2,6808.8,6661.3,6942.1,6496.7,6946.9,6486.2
O00264,0.0535,0.7001,0.2085,2494.6,2456.4,2612.8,2443.0,2677.1,2584.3,2506.9,2629.8,2612.5,2831.3
Q9Y3D9,0.0642,0.6988,0.2085,4198.5,4192.0,3804.3,3909.0,4084.1,4134.4,4008.1,4018.3,4643.0,4318.4
Q9BU76,0.041,0.6996,0.2085,3905.0,3863.0,3742.6,3805.1,3928.4,4119.1,3824.9,3803.8,4093.8,3965.1
P31327,0.0396,0.6988,0.2085,5793.7,5574.1,5485.1,5664.7,5554.1,5668.5,5548.4,5932.5,5695.0,6016.1
Q15063,-0.184,0.7014,0.2085,92.5,76.5,118.1,91.9,105.3,105.6,77.5,90.1,85.0,68.2
P05165,-0.092,0.7002,0.2085,206.4,212.6,199.2,243.5,236.0,230.0,211.2,197.2,193.7,196.8
Q13616,-0.044,0.699,0.2085,56140.1,54283.3,54725.8,54671.5,54288.3,49208.3,54497.0,54759.1,53281.6,54315.2
Q8NEM2,0.1872,0.7005,0.2085,119.1,112.7,97.8,86.5,110.9,102.4,103.5,110.6,124.8,164.7
Q8IUI8,-0.0564,0.6998,0.2085,806.7,768.7,846.5,781.8,796.1,798.8,736.1,767.9,821.5,724.4
P13284,-0.0951,0.7019,0.2085,555.9,608.1,637.1,672.0,653.7,547.3,625.0,588.0,647.8,522.2
P08133,-0.0458,0.6987,0.2085,54541.9,51292.4,50463.3,51181.0,51803.9,46930.6,51242.9,51707.8,50220.9,51137.2
Q8NCM8,0.0417,0.6985,0.2085,2119.1,2095.7,2135.6,2096.0,2239.7,2247.8,2154.3,2095.0,2260.1,2243.8
P26583,-0.0523,0.7008,0.2085,15396.1,15249.2,15438.3,15247.6,15164.9,13755.6,16035.3,15172.9,14348.8,14557.7
Q9UHB6,-0.0415,0.6966,0.2072,7597.6,7604.7,7527.6,7857.8,7568.1,7255.1,7788.2,7163.3,7686.1,7199.9
Q99873,-0.051,0.6962,0.2072,20909.9,18797.0,18838.5,18880.1,20212.6,17979.1,18823.1,19377.6,19200.8,18805.7
Q6DKK2,-0.0712,0.6968,0.2072,2204.0,2107.7,2086.0,2042.8,2206.4,2316.1,1897.2,1969.6,2019.7,1952.1
Q16537,0.1032,0.6962,0.2072,1409.5,1401.9,1300.3,1355.7,1318.9,1437.0,1362.9,1321.3,1409.5,1801.0
O94829,-0.0376,0.6949,0.2065,3670.2,3740.9,3754.7,3784.5,3926.4,3567.0,3624.7,3803.3,3763.4,3633.6
P62306,0.075,0.6951,0.2065,5704.8,5634.5,5899.8,6022.1,5826.3,5286.8,6294.4,6652.3,6206.7,6280.2
P82914,-0.0287,0.6944,0.2063,5971.7,6250.4,6163.5,6118.4,6185.2,6019.5,5958.4,5961.2,6101.3,6042.2
P53041,-0.0328,0.6942,0.2063,30540.6,30612.3,31101.8,30924.8,30687.4,28695.6,30569.2,30642.2,30092.1,30452.4
Q99653,0.0825,0.6915,0.206,117.1,106.8,134.7,118.2,110.3,123.9,126.8,132.2,116.6,120.7
P35606,-0.0328,0.6912,0.206,32919.6,31437.5,31568.7,32293.8,32453.0,30491.0,30954.9,31707.4,31990.0,31918.3
O75934,-0.0352,0.6927,0.206,7112.9,7136.1,7242.6,7140.7,7199.5,6893.3,6814.5,6798.5,7191.4,7283.1
Q9Y3D5,0.096,0.6916,0.206,299.7,261.9,299.8,289.9,327.8,297.8,295.5,300.3,362.9,325.2
Q8NFI3,-0.0486,0.6922,0.206,3762.6,3680.1,3855.9,3671.1,4013.1,3714.0,3531.8,3534.7,3695.7,3879.5
O43913,-0.2926,0.6923,0.206,460.9,963.0,453.7,371.4,439.9,399.7,439.6,410.2,419.7,394.5
P53367,-0.0488,0.6919,0.206,3663.6,3450.6,3302.7,3395.2,3623.0,3224.1,3287.0,3433.9,3472.4,3431.6
A2RTX5,0.0379,0.6913,0.206,3015.4,2915.3,2982.0,2894.9,2926.5,2922.2,3159.5,2944.2,3004.2,3101.5
Q9Y2S2,-0.0892,0.691,0.206,273.3,271.7,263.3,278.3,255.5,218.1,267.4,287.9,241.7,251.5
Q92901,-0.1474,0.6915,0.206,648.5,830.0,537.5,632.4,714.4,661.2,647.2,556.2,618.8,532.5
P78559,0.0503,0.6919,0.206,2074.4,2146.9,2139.9,2050.0,2091.4,2091.0,2053.6,2303.3,2143.6,2294.0
Q9UBE0,-0.0415,0.69,0.2054,26871.8,25892.9,25521.2,25676.7,25433.8,23768.1,24927.8,25404.1,26335.3,25339.1
Q96DB5,-0.0812,0.6902,0.2054,480.9,456.5,437.2,422.6,416.6,405.6,381.4,408.5,426.0,473.7
Q9Y663,-0.1129,0.6892,0.2049,205.5,169.7,163.0,148.3,164.4,152.5,142.6,150.6,170.4,167.9
P25208,-0.0598,0.6889,0.2048,1242.1,1407.7,1410.0,1336.3,1342.4,1211.9,1382.9,1302.2,1269.4,1297.7
Q13432,-0.1326,0.6884,0.2046,164.5,187.8,159.3,176.9,199.1,140.8,162.5,139.8,179.3,190.9
Q08257,0.0283,0.688,0.2045,16780.7,17007.8,17366.8,16950.3,16764.4,17648.8,17125.8,17253.0,17106.9,17415.1
P11274,0.248,0.6875,0.2042,59.5,70.0,83.8,113.9,81.7,115.5,104.5,96.2,67.0,98.6
Q96MH2,-0.0585,0.6868,0.204,649.0,656.1,630.1,596.5,625.0,577.6,596.9,574.9,659.0,625.3
Q9UHP3,0.0605,0.6869,0.204,1139.1,1150.3,1212.8,1157.1,1147.6,1226.3,1101.0,1179.2,1237.2,1321.3
P08134,0.0691,0.686,0.2037,544.7,569.0,481.0,588.9,552.5,556.9,587.2,573.1,595.6,552.1
Q9NVM9,0.0404,0.686,0.2037,4838.7,4682.6,4761.6,4784.9,4901.1,4952.7,4633.2,4903.0,5101.1,5070.9
P53680,-0.0854,0.6854,0.2034,461.6,446.7,394.7,380.8,468.7,390.4,425.3,424.7,385.8,397.2
P61619,-0.1668,0.6822,0.2027,90.7,85.0,98.8,77.7,77.0,86.4,71.2,61.5,97.8,69.1
Q9GZX9,0.0836,0.684,0.2027,300.6,348.6,351.0,364.7,392.9,390.4,377.7,367.5,359.4,361.6
Q6RW13,0.0593,0.6821,0.2027,545.8,518.0,550.7,576.3,566.7,552.1,533.9,582.3,588.7,618.0
Q3LI77,-0.0954,0.6825,0.2027,119.1,122.8,123.7,120.3,153.0,114.5,119.6,124.8,110.3,126.9
Q15018,-0.045,0.6823,0.2027,10152.6,10237.2,10196.2,10388.1,9986.5,9135.1,10222.6,10104.7,10199.6,9773.9
Q8TDQ7,0.0814,0.6823,0.2027,546.8,545.9,565.2,598.6,544.3,536.7,542.2,621.4,605.2,665.9
P12694,-0.0478,0.6835,0.2027,1293.1,1350.0,1270.3,1321.5,1405.3,1336.0,1228.6,1250.8,1281.6,1326.4
O76094,-0.027,0.683,0.2027,4590.7,4567.4,4578.0,4609.9,4673.4,4461.7,4603.8,4546.3,4526.2,4455.4
Q96F45,-0.0414,0.6833,0.2027,3334.4,3323.8,3418.6,3540.1,3300.9,3347.3,3382.2,3124.1,3236.2,3351.4
P02794,0.0498,0.6845,0.2027,10123.3,9586.3,9856.2,9877.1,9758.8,9340.7,10120.3,10266.6,10651.2,10600.7
P57768,0.0922,0.6817,0.2026,116.5,118.0,125.5,123.5,124.0,143.6,121.5,148.0,121.4,116.0
Q9UEG4,-0.0414,0.6813,0.2023,5161.5,5156.6,5528.9,5239.0,5268.5,4960.8,5001.5,5048.3,5230.9,5370.3
Q9ULP0,-0.0337,0.6809,0.2022,940.0,974.1,962.3,939.6,974.2,902.4,961.4,924.3,939.6,952.4
Q5T2R2,0.0755,0.679,0.2016,312.3,340.9,290.6,305.6,268.3,308.8,317.7,313.8,321.4,333.0
P49354,-0.0682,0.6793,0.2016,6690.3,6267.2,6482.9,6174.7,6691.5,5531.2,6137.6,6337.7,6067.0,6792.0
Q96EB6,0.0508,0.6792,0.2016,9087.9,9151.9,8886.8,8969.1,9117.3,10182.6,8768.7,9610.6,9218.6,9111.2
Q92688,-0.0583,0.6797,0.2016,15538.2,16501.0,15987.7,15920.4,16271.1,14275.0,15873.0,16884.0,14744.5,15381.2
O00299,-0.0479,0.679,0.2016,27396.1,27466.1,27328.0,27921.7,27676.0,25123.1,27945.3,28259.5,25427.6,26681.6
P55010,-0.0394,0.6772,0.2015,18144.1,17557.2,17135.8,18079.9,17254.6,16382.8,17778.1,17416.6,17340.4,16887.3
Q7Z6L1,-0.24,0.6786,0.2015,45.6,50.7,41.3,29.1,41.9,44.0,43.1,30.4,34.2,25.7
Q14781,-0.3084,0.6769,0.2015,40.6,64.8,65.0,40.4,39.9,46.4,45.4,23.9,36.8,51.1
P55039,-0.051,0.6777,0.2015,11444.5,10813.9,10256.4,10716.9,11034.7,9702.4,10704.9,10603.8,10755.3,10618.6
Q96B54,0.0761,0.6778,0.2015,1035.7,1269.3,1131.4,1162.0,1223.2,1152.0,1269.0,1270.1,1160.2,1277.6
Q13439,-0.2211,0.6769,0.2015,8129.6,8091.9,8088.7,8208.5,15348.9,7824.9,7687.4,7692.3,8321.7,8090.7
Q6UWZ7,-0.0442,0.6783,0.2015,3699.9,3582.4,3487.7,3593.1,3835.9,3356.7,3608.7,3508.8,3648.2,3525.6
Q9NSI2,0.0358,0.677,0.2015,4212.0,4493.7,4222.6,4275.9,4393.0,4353.5,4338.6,4387.7,4535.8,4521.8
Q9Y4K4,0.2644,0.6747,0.2013,350.4,592.1,373.0,645.7,467.0,489.1,499.4,525.8,818.9,554.7
O95571,0.0509,0.6749,0.2013,2431.2,2465.1,2497.1,2573.8,2369.6,2343.8,2618.1,2587.5,2570.9,2667.5
Q86SQ7,-0.1005,0.6747,0.2013,212.3,284.7,218.7,225.8,251.4,228.9,231.0,223.5,213.3,210.1
Q8NFF5,0.0393,0.6763,0.2013,1459.1,1539.8,1442.5,1451.8,1486.6,1586.6,1535.9,1469.6,1517.1,1475.5
Q8NFH3,0.0472,0.6757,0.2013,4552.3,4742.8,4391.1,4644.3,4547.5,4396.9,4662.3,4919.3,4814.0,4857.8
P04350,-0.0448,0.6755,0.2013,747.2,747.6,747.7,765.4,789.5,762.5,712.2,768.3,744.8,695.4
Q86YM7,-0.0519,0.675,0.2013,827.0,820.7,917.7,867.3,872.1,870.7,795.6,796.7,845.6,843.3
Q5T2D2,0.0846,0.6746,0.2013,333.2,321.4,348.3,306.0,351.6,342.5,307.4,351.8,381.8,380.5
Q7Z7H8,0.0711,0.6742,0.2011,2767.5,3052.5,2856.1,3110.1,3249.3,3392.4,3060.6,3203.8,2903.8,3229.9
Q13823,-0.0716,0.6731,0.2003,432.5,415.3,478.7,448.0,491.5,446.0,430.0,452.7,432.2,393.7
P36897,0.2266,0.6706,0.1998,114.8,137.1,137.8,168.4,161.5,132.5,131.8,209.6,156.4,226.0
Q6ZMJ4,-0.0731,0.671,0.1998,494.5,418.3,479.7,479.3,463.3,482.5,433.8,453.4,405.6,444.4
Q5TFE4,-0.0414,0.6715,0.1998,22611.3,22848.4,23224.0,23400.0,22249.9,21628.0,23401.1,22950.9,21378.5,21793.6
Q5T6C5,0.0989,0.6723,0.1998,233.9,259.8,306.3,231.5,276.6,263.6,287.6,289.9,267.5,285.6
Q8N668,0.0776,0.672,0.1998,1065.4,1037.2,1080.9,1011.6,1109.8,1305.5,1111.6,1079.1,1082.6,1034.9
P39023,0.0394,0.6707,0.1998,53336.9,52112.1,52038.0,51646.2,51288.3,53917.8,51167.4,52020.5,56521.8,54135.2
Q9NUP7,0.0558,0.6711,0.1998,1197.5,1294.2,1128.3,1162.7,1212.1,1200.6,1322.6,1211.0,1279.0,1215.8
Q9Y3V2,-0.0673,0.6716,0.1998,325.8,289.8,314.2,301.5,321.6,303.3,288.3,329.4,280.2,282.3
P37108,-0.0336,0.6696,0.1993,14605.3,14653.6,14830.0,14412.5,14710.4,13587.2,14349.7,14657.9,14508.1,14445.3
O60870,-0.0773,0.6697,0.1993,293.4,289.3,273.5,248.7,269.4,279.0,250.7,281.4,252.3,239.6
Q92621,-0.124,0.6684,0.1984,2663.9,2541.1,3607.0,2547.5,2668.1,2810.8,2520.0,2437.9,2603.5,2401.6
Q4J6C6,-0.0401,0.6676,0.1981,12012.3,11773.2,11598.1,11496.7,12582.1,11103.6,11586.7,11763.6,11750.9,11608.6
Q9NWW5,0.2451,0.6674,0.1981,35.2,40.6,38.8,31.6,31.3,29.5,59.3,43.9,32.3,51.7
P49406,0.0637,0.6679,0.1981,1657.7,1708.0,1657.7,1645.8,1827.7,1804.0,1697.4,1726.9,1972.9,1687.6
Q12765,0.0407,0.6664,0.1979,9166.5,9323.5,9589.3,9507.4,9056.6,9596.7,9878.6,9138.9,9998.5,9381.0
O60749,-0.0305,0.6667,0.1979,21430.3,20774.2,20410.3,20609.1,20907.9,20674.4,19843.4,20181.3,20576.0,20676.3
Q03393,-0.0506,0.6667,0.1979,4717.6,4777.4,4617.8,4767.8,4859.2,4287.2,4860.1,4833.6,4577.2,4388.4
Q96ES7,0.0846,0.6661,0.1978,419.3,435.0,451.8,456.4,449.3,488.1,484.9,419.4,534.7,426.9
O95396,0.0761,0.6655,0.1975,85.3,88.4,93.6,95.9,94.1,100.2,106.1,99.8,88.0,88.8
Q9P2E7,-0.1553,0.6653,0.1975,108.2,137.2,156.2,112.9,100.3,101.4,123.0,108.3,99.3,114.3
Q96DI7,-0.033,0.6641,0.1965,3123.3,3055.5,3181.7,3161.3,3058.6,3037.5,3051.5,2988.9,3170.3,2981.6
P50990,-0.0382,0.6625,0.1953,92641.1,90181.2,92046.0,91253.2,89940.1,83145.9,91523.3,90543.5,89703.4,89458.4
O43852,-0.0604,0.6622,0.1953,32047.3,30351.8,33865.4,31699.7,33674.5,28299.7,31741.5,32489.1,30209.1,32352.0
Q86YS3,-0.6303,0.6621,0.1953,268.3,347.6,95.6,410.9,168.2,125.8,249.3,237.4,58.5,159.2
P56211,-0.0531,0.6614,0.1949,3506.9,3682.7,3589.6,3581.3,3255.6,3263.9,3520.6,3576.8,3269.0,3346.3
Q5W0V3,-0.0525,0.661,0.1947,2186.2,2131.5,2163.1,2211.3,2282.2,1985.6,2142.0,2088.5,2063.6,2313.4
Q9NVX2,-0.0496,0.6607,0.1947,9111.8,8911.2,9099.8,9405.5,9127.2,8046.5,9057.3,9244.0,8754.4,9054.7
O75113,0.0352,0.6601,0.1943,2386.0,2369.1,2303.8,2398.6,2343.9,2378.8,2365.1,2386.6,2412.2,2553.9
Q8NBJ5,-0.0396,0.6596,0.194,4377.8,4395.4,4296.6,4365.2,4379.8,4154.5,4095.7,4149.2,4540.7,4298.4
Q7L2J0,-0.0512,0.6572,0.1939,1360.0,1344.3,1342.3,1362.9,1347.7,1391.3,1378.9,1242.8,1303.0,1215.1
Q2KHR3,-0.0562,0.6573,0.1939,438.4,437.7,456.0,383.8,413.3,412.3,414.1,408.8,408.6,400.6
