Accession,# PSMs,Gene Symbol,Abundances_Pool_0,Abundances_Pool_1,Abundances_Pool_2,Abundances_Pool_3,Abundances_Pool_4,Abundances_Pool_5,Abundances_Pool_6,Abundances_Pool_7,Abundances_Pool_8
P30613,265,PKLR,40707.1,38320.8,38929.0,37209.3,39122.4,39008.0,38873.9,39686.0,38324.7
P55072,191,VCP,37915.6,38023.0,38086.8,37183.9,38896.6,38316.0,38760.3,38534.0,38044.5
P29401,210,TKT,40792.0,44058.5,46283.0,43181.3,47024.1,47053.1,45971.2,46196.9,44619.4
P50851,155,LRBA,28050.9,24841.6,25250.3,26883.5,25180.7,25618.2,25747.2,27260.5,26313.7
P49588,212,AARS1,39055.9,37787.2,37039.3,39031.2,36256.5,39632.7,37271.2,39994.5,39710.0
P27816,171,MAP4,39628.2,41528.3,38752.4,41734.7,37638.8,40951.1,40461.0,40429.5,42059.4
P17987,266,TCP1,42017.3,48466.4,49277.6,48388.7,50080.7,49601.3,48877.9,48950.4,48747.2
P07814,129,EPRS1,14679.7,15275.7,14178.3,18797.2,14385.9,14855.6,13954.7,9473.6,13840.0
P50991,221,CCT4,49511.1,47892.9,48471.9,47011.6,48277.4,47617.9,49175.8,46605.9,46932.9
P31948,227,STIP1,50413.3,54692.8,50699.9,62805.3,49346.2,60042.9,54499.7,51826.4,56385.7
P13796,215,LCP1,49956.7,51340.6,53064.2,48512.4,53907.7,47815.6,52161.5,53847.6,49480.4
P53396,201,ACLY,42231.4,45002.8,43509.1,46752.6,42238.6,44181.2,44956.3,41996.4,41057.6
P68104,295,EEF1A1,50489.9,57830.6,60458.3,58242.7,60530.7,60255.9,59811.2,60515.7,54863.8
O75369,133,FLNB,21794.5,20723.2,20147.6,20751.8,20548.1,20314.2,21092.3,20945.0,20447.4
Q86VP6,220,CAND1,58347.5,54772.5,55008.7,52836.0,54125.5,52899.6,54976.4,56517.7,55734.8
P21333,120,FLNA,12353.9,12969.3,13007.5,14212.2,13085.0,13111.6,13017.6,12622.3,13191.0
P33176,141,KIF5B,21196.6,22096.9,21343.3,22498.1,22330.7,21426.9,21449.0,21881.2,22272.4
P15311,273,EZR,29565.4,33074.3,33063.4,30691.1,33712.0,32084.3,32091.7,33610.6,31192.7
P11021,201,HSPA5,36363.8,38602.6,39928.8,38543.3,41295.7,39034.8,38650.4,40183.9,38460.7
P40227,228,CCT6A,44172.1,45495.0,48252.3,46060.4,49450.4,47707.2,47709.9,45428.4,44132.2
P55786,178,NPEPPS,45622.2,45431.2,44903.5,44336.0,45238.4,46119.0,46635.2,47922.5,44343.2
P22102,130,GART,22530.3,21576.8,21362.7,25562.5,21556.2,23300.5,21350.3,17103.6,21056.1
P29144,141,TPP2,28282.0,28045.1,27431.0,28738.2,27695.8,27007.9,28111.8,26569.0,29198.5
P04181,190,OAT,33308.2,31927.8,34608.7,31063.0,40912.4,35842.6,34024.8,33437.5,31149.6
Q99460,148,PSMD1,23401.5,26319.5,26036.4,28059.8,25501.7,26082.0,26321.5,25667.0,26297.3
P68371,236,TUBB4B,51432.9,47656.9,48416.5,50308.2,50429.7,47782.3,48091.9,46654.1,48489.7
Q13200,135,PSMD2,21022.5,22775.7,22474.7,24828.4,22628.0,24339.4,23869.1,22574.4,23096.3
P06744,212,GPI,49774.1,49651.6,51037.1,47120.7,54013.6,52482.5,51301.2,52037.3,49706.0
Q8NFC6,91,BOD1L1,14945.2,15139.6,13888.0,14693.3,13699.1,15215.3,14755.9,15542.3,16145.1
P09972,153,ALDOC,18930.1,17511.0,18392.4,17190.0,18437.3,18312.3,18139.4,18263.3,17619.9
Q92598,126,HSPH1,17161.3,20914.1,20561.0,23093.0,19669.2,20244.6,20339.4,18052.5,20364.7
P12814,135,ACTN1,13636.5,13760.8,14054.3,13257.7,14498.0,12891.6,13905.6,14596.1,14397.9
P14625,170,HSP90B1,29185.7,29205.4,29060.7,31518.1,29852.4,30646.3,29859.7,30409.5,30901.8
P41250,172,GARS1,35544.3,38765.0,39466.0,36573.3,41108.4,38403.0,39194.4,39954.0,39022.7
P18669,165,PGAM1,28141.7,31408.4,32427.8,31183.3,35588.7,32377.4,32153.1,33453.5,32391.9
P22234,199,PAICS,39691.1,44691.5,52189.1,42809.0,57289.2,46133.5,45957.0,47082.9,42164.3
Q16658,223,FSCN1,37735.5,34621.4,35423.4,33750.1,35210.3,36654.0,35527.9,36677.3,34987.7
P07237,181,P4HB,41436.2,48388.6,49401.5,46055.3,50028.8,47047.2,48697.6,49532.7,46804.3
P26640,119,VARS1,11273.6,11743.8,11263.9,13619.6,11158.2,11576.8,11236.9,8198.9,10996.7
Q9C0C2,94,TNKS1BP1,11442.0,11253.4,10837.2,10826.8,10622.0,12175.0,11646.0,12071.0,11844.3
P07437,238,TUBB,5269.9,4422.4,4554.2,4780.3,4850.7,4592.3,4570.9,4281.6,4557.3
P00338,272,LDHA,47189.4,53820.8,60933.8,52220.2,68286.4,56849.1,57744.6,60168.4,53370.4
P30622,112,CLIP1,19401.8,22374.2,22175.6,21142.2,22500.5,21254.4,22437.7,23453.7,22632.0
Q9NR09,112,BIRC6,16409.0,16251.3,15507.1,17397.1,15035.3,15772.6,15794.0,16324.7,15921.1
O15067,133,PFAS,18651.9,16769.8,15404.7,17012.7,14570.4,16705.8,16212.0,15634.8,15641.0
Q06830,251,PRDX1,46597.2,50297.1,54037.7,50135.1,55835.7,54047.5,52565.3,54436.4,49220.7
Q12931,163,TRAP1,38712.8,37519.2,37314.9,37856.0,38430.3,39439.7,39151.2,40204.0,38993.0
P35241,184,RDX,12311.8,15342.0,15429.3,14350.1,15095.0,15626.5,14957.7,15817.0,15051.9
P07195,246,LDHB,45278.3,53380.3,56532.8,52162.7,57105.2,53433.3,55307.6,57240.0,53955.8
P55060,139,CSE1L,30506.5,27804.5,27824.7,27311.7,29255.7,27419.3,28029.5,30118.1,28698.3
P27708,98,CAD,14335.9,13498.5,12741.3,15009.5,12945.6,13403.9,12867.6,12971.1,13173.3
P40926,189,MDH2,41119.4,46630.6,51585.0,44185.0,57242.8,48073.6,49199.0,49234.2,44483.8
P04264,115,KRT1,17576.1,16728.1,34128.7,12573.4,20181.6,15160.1,21101.4,15621.6,27667.0
Q9NSE4,112,IARS2,29088.9,27919.5,27678.1,27009.7,28257.6,26481.5,28248.4,28930.4,27030.4
Q12888,82,TP53BP1,9502.8,9084.8,8490.8,9873.4,8225.1,8724.8,8266.4,8040.0,8869.4
P26639,175,TARS1,38911.8,42870.3,44237.0,42103.5,44541.2,40752.3,43000.8,44438.1,42158.2
P60174,182,TPI1,32712.0,35097.5,37970.7,34650.0,38264.8,36019.9,34737.9,37000.3,35964.0
Q13263,138,TRIM28,21031.6,23292.6,22482.8,24445.0,22716.6,23656.9,22458.4,21685.0,22746.7
P63104,206,YWHAZ,33810.1,40558.3,44698.6,37880.3,48291.6,41410.8,41124.0,43299.8,38489.7
P46940,102,IQGAP1,14424.0,15122.2,14786.4,17501.1,14681.2,15469.8,14817.3,10953.0,14785.9
