,Accession,Gene Symbol,Palbociclib,Panobinostat,Raltitrexed,Methotrexate,Vemurafenib,Fimepinostat,Olaparib,Bafetinib,SCIO-469,OTS964,SL-327,Abemaciclib,CCT137690,Belumosudil,Parthenolide
24,P49368,CCT3,0.015084345730227882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011300474282709921,0.0,0.0
25,P34932,HSPA4,0.0,0.0,0.0,0.0,0.03823914860798649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003087017327548029,0.0
26,P0DMV9,HSPA1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004964877390790656,0.0,0.0013644527780510849,0.0,0.0,0.0,0.0,0.0
27,O00410,IPO5,0.0,0.0,0.0,0.0,0.0,0.0,0.008031052951997825,0.0,0.0,0.06697463813476988,0.0,0.0,0.0,0.0,0.0
28,Q5T4S7,UBR4,0.0,0.0,0.0,0.03504068374264075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04479463846705301,0.0
29,P49321,NASP,0.0,0.0,0.0,0.0,0.0,0.0,0.007236412296299901,0.0,0.0,0.03484915351999491,0.0,0.0,0.0,0.0,0.0
30,Q15075,EEA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005809815663448877,0.012653922688314617,0.0,0.0,0.0
31,P00558,PGK1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068172639932914695,0.0,0.023137559166737938,0.0,0.0,0.0,0.0,0.0
32,P10809,HSPD1,0.0,0.0,0.0,0.05658910585235052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012305504205279877,0.0,0.0
33,Q14315,FLNC,0.0,0.01330495431232046,0.0,0.0,0.0,0.0,0.0,0.0,0.018581995968203043,0.0,0.0,0.0,0.0,0.0,0.0
34,P46821,MAP1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02831265600534035,0.03879171925422139,0.0,0.0,0.0
35,O43707,ACTN4,0.0,0.0,0.0,0.0,0.0,0.0,0.009910536241743768,0.0,0.0,0.008250708247146639,0.0,0.0,0.0,0.0,0.0
36,P50990,CCT8,0.0,0.0,0.0,0.0,0.0,0.004735650980741836,0.008942920856037904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Q16531,DDB1,0.0,0.0,0.0,0.0,0.0,0.0,0.012690022111917068,0.0,0.0,0.03259507104928038,0.0,0.0,0.0,0.0,0.0
38,P50395,GDI2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043511718800220575,0.0,0.0,0.0,0.0,0.0033816456502364107
39,Q92945,KHSRP,0.0,0.0,0.0,0.0002774086879399427,0.0,0.0,0.0,0.0,0.0,0.0,0.009698417589376692,0.0,0.0,0.0,0.0
40,P30613,PKLR,0.0,0.0021858322383064843,0.02276715019338802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,P55072,VCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001322800339456268,0.0,0.01926898318485497,0.0,0.0,0.0,0.0,0.0
42,P29401,TKT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006966015577954517,0.0,0.0,0.0,0.0,0.00706571843381066
