,Accession,Gene Symbol,Palbociclib,Panobinostat,Raltitrexed,Methotrexate,Vemurafenib,Fimepinostat,Olaparib,Bafetinib,SCIO-469,OTS964,SL-327,Abemaciclib,CCT137690,Belumosudil,Parthenolide
639,P46777,RPL5,0.9964195979899497,1.0542142091659836,1.0498779978457276,1.1831571079993843,1.1538326262337604,1.1538326262337604,1.0403559646136713,1.1029649708966358,1.102833527510936,0.9612094648501802,1.1307071728473763,1.1307071728473763,1.0883361544041676,1.102833527510936,1.0883361544041676
640,Q9UHX1,PUF60,1.0185732192490053,1.060352062782713,1.0619325303831273,0.9899380554807434,1.0375771294250797,1.0392282958199357,1.0185732192490053,1.0169548704443307,1.0392282958199357,1.0210147691972313,1.0392282958199357,1.060352062782713,1.0101642162997464,1.011771758678947,1.0101642162997464
641,P20810,CAST,1.188226339978338,1.0122696326591685,1.0296266739818947,1.2263692514856122,1.0192772887104415,1.196452094493721,1.2086004508064752,1.196452094493721,1.0192772887104415,1.2086004508064752,1.2086004508064752,1.2590673575129534,1.2086004508064752,0.9878790864970067,1.2263692514856122
642,P61978,HNRNPK,1.439990484120376,1.4267634114428451,1.0448817538408424,1.4666825264660401,1.4666825264660401,1.0599861902295875,1.4267634114428451,1.4608064707981443,1.4608064707981443,0.9659185647113749,1.439990484120376,1.0352839634041084,1.439990484120376,1.5673605328892588,1.0435007767995856
643,P49593,PPM1F,0.9984456984456984,1.0554878536039636,1.0726785999680357,1.0169355398451212,1.0244626018858878,1.0073572427196018,1.00896995365191,1.01481340898194,1.01481340898194,1.0197279047466836,1.0197279047466836,1.047732838884317,1.0197279047466836,1.0015567211684333,1.0244626018858878
644,Q86UP2,KTN1,1.0180417265796684,1.133237472530454,1.1017098488394506,1.0805914259753848,1.0805914259753848,1.053057628238663,0.9822780087410724,1.0376298868661655,1.053057628238663,1.0208361594183237,1.053057628238663,1.1017098488394506,1.0360142074396321,1.0331782262727498,1.0805914259753848
645,P68400,CSNK2A1,1.0981418197351558,1.0981418197351558,1.0629271678769758,1.1337471636107561,0.9962065112895263,1.1730830841520716,1.0981418197351558,1.015962024986307,1.0275256300726185,1.0981418197351558,1.0629271678769758,1.1730830841520716,1.0038079340653607,1.0275256300726185,1.0038079340653607
646,Q9UNH7,SNX6,1.1459601899685867,1.0628409837470365,1.0993316004455997,1.1628876416203904,1.0598988831443343,1.1628876416203904,1.1079218091679197,1.1079218091679197,0.9434862286422682,1.1459601899685867,1.1459601899685867,1.1784305259866903,1.1048549181914276,0.9434862286422682,1.1048549181914276
647,O43865,AHCYL1,1.055939830051505,0.9508243093922653,1.0738328210623278,1.0675821748489036,1.0689356982394795,1.0688229046235984,0.9470236575423274,1.0571670292482476,1.0688229046235984,1.0621223108532751,1.0688229046235984,1.0675821748489036,1.0796698906841873,1.0675821748489036,1.0738328210623278
648,O95834,EML2,1.009458772899794,1.0381937180598309,1.0956469371052673,1.0474837474327892,1.0672647817291805,1.0672647817291805,0.9906298571534305,1.0136278055049162,1.0672647817291805,1.0229222079435762,1.0672647817291805,1.0728701802066123,1.0474837474327892,1.0431754659583996,1.0474837474327892
649,Q99541,PLIN2,1.0290841584158417,1.0955391734825657,1.1784289072322747,1.1129667085770514,1.0693981304324058,1.119608593451047,1.0271201033146793,0.9735959765297569,1.0693981304324058,1.0290841584158417,1.0693981304324058,1.119608593451047,1.0434592467063903,1.119608593451047,1.0434592467063903
650,P30405,PPIF,1.1126243658730635,1.0124856986519426,1.0782636090799051,1.0447503272223315,1.0374653865923826,1.0705260366317917,1.1136081715757145,1.0941972573207976,1.0374653865923826,1.1181422326401067,1.0705260366317917,1.0447503272223315,1.1126243658730635,0.9876682715928072,1.1136081715757145
651,P09651,HNRNPA1,2.057490025389917,2.057490025389917,1.0635593220338984,2.269405150525934,2.170203119332608,1.0976480670348505,1.9444142183532829,2.0905875952121873,2.0905875952121873,1.0635593220338984,2.0256619513964456,1.0209007808036565,2.0256619513964456,2.170203119332608,0.9795271184069393
